Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: 06 Laugh, 07 Laugh, 08 Laugh, 09 Laugh, 10 Laugh, 11 Laugh, 13 Laugh, 14 Laugh
Time,Duration,TrackName,comment

1007641,6158,09 Laugh,Not Laughing
1009641,6559,10 Laugh,Smiling
1013800,7367,09 Laugh,Laughing
1013800,8600,07 Laugh,Laughing
1014401,11759,06 Laugh,Laughing
1014401,11958,08 Laugh,Laughing
1016201,4319,10 Laugh,Laughing
1018201,10758,11 Laugh,Laughing
1020521,24198,10 Laugh,Smiling
1021167,9317,09 Laugh,Smiling
1022401,4438,07 Laugh,Smiling
1026161,5438,06 Laugh,Smiling
1026400,18280,08 Laugh,Not Laughing
1026840,4720,07 Laugh,Indeterminate
1029000,38479,11 Laugh,Smiling
1030485,3247,09 Laugh,Laughing
1031561,4038,07 Laugh,Smiling
1031600,2040,06 Laugh,Not Laughing
1033641,2759,06 Laugh,Smiling
1033732,548,09 Laugh,Not Laughing
1034281,9438,09 Laugh,Smiling
1035600,3400,07 Laugh,Not Laughing
1036401,3399,06 Laugh,Not Laughing
1039001,6519,07 Laugh,Smiling
1039801,2119,06 Laugh,Laughing
1041921,3438,06 Laugh,Smiling
1043720,1639,09 Laugh,Not Laughing
1044681,17038,08 Laugh,Smiling
1044720,1239,10 Laugh,Not Laughing
1045360,2920,09 Laugh,Laughing
1045360,2999,06 Laugh,Indeterminate
1045521,5958,07 Laugh,Laughing
1045960,27159,10 Laugh,Smiling
1048281,8838,09 Laugh,Smiling
1048360,22239,06 Laugh,Not Laughing
1051480,15280,07 Laugh,Not Laughing
1057120,9239,09 Laugh,(null)
1061720,5239,08 Laugh,Not Laughing
1066360,7839,09 Laugh,Laughing
1066761,2958,07 Laugh,Smiling
1066960,10639,08 Laugh,Laughing
1067480,8280,11 Laugh,Laughing
1069440,5519,14 Laugh,Smiling
1069720,5680,07 Laugh,Laughing
1070600,4080,06 Laugh,Laughing
1073120,3599,10 Laugh,Not Laughing
1074200,1639,09 Laugh,Smiling
1074681,9119,06 Laugh,Smiling
1075000,93479,14 Laugh,Not Laughing
1075401,1318,07 Laugh,Smiling
1075761,9039,11 Laugh,Not Laughing
1075800,7439,13 Laugh,Laughing
1075840,4519,09 Laugh,Laughing
1076720,3560,10 Laugh,Smiling
1076720,4680,07 Laugh,Laughing
1077600,6200,08 Laugh,Not Laughing
1080281,4639,10 Laugh,Not Laughing
1080360,4079,09 Laugh,Not Laughing
1081401,2239,07 Laugh,Not Laughing
1083280,28360,13 Laugh,Smiling
1083641,6318,07 Laugh,Laughing
1083801,14719,06 Laugh,Laughing
1083801,8318,08 Laugh,Laughing
1084440,4440,09 Laugh,Laughing
1084801,3038,11 Laugh,Smiling
1084921,29438,10 Laugh,Smiling
1087840,3920,11 Laugh,Laughing
1088920,6360,09 Laugh,Not Laughing
1090000,14640,07 Laugh,Not Laughing
1091800,3000,11 Laugh,Not Laughing
1092120,18160,08 Laugh,Not Laughing
1094801,9798,11 Laugh,Smiling
1095281,14519,09 Laugh,Smiling
1098521,11798,06 Laugh,Not Laughing
1104600,5519,11 Laugh,Laughing
1104641,2478,07 Laugh,Smiling
1107120,3400,07 Laugh,Not Laughing
1109801,6839,09 Laugh,Laughing
1110160,1279,11 Laugh,Smiling
1110281,11399,08 Laugh,Smiling
1110320,5627,06 Laugh,Indeterminate
1110521,5039,07 Laugh,Smiling
1111440,13867,11 Laugh,Laughing
1111641,213838,13 Laugh,Not Laughing
1114360,3479,10 Laugh,Laughing
1115561,6918,07 Laugh,Not Laughing
1115947,8693,06 Laugh,Not Laughing
1116641,10678,09 Laugh,Smiling
1117840,7680,10 Laugh,Smiling
1121681,3839,08 Laugh,Smiling
1122479,2240,07 Laugh,Smiling
1124641,9465,06 Laugh,Smiling
1124720,3639,07 Laugh,Not Laughing
1125307,10052,11 Laugh,Smiling
1125521,10759,08 Laugh,Not Laughing
1125521,2958,10 Laugh,Laughing
1127320,3759,09 Laugh,Laughing
1128360,2520,07 Laugh,Smiling
1128480,15280,10 Laugh,Smiling
1130881,4598,07 Laugh,Not Laughing
1131080,4840,09 Laugh,Smiling
1134106,1373,06 Laugh,Not Laughing
1135360,6200,11 Laugh,Laughing
1135480,4160,06 Laugh,Smiling
1135480,9719,07 Laugh,Laughing
1135921,8959,09 Laugh,Laughing
1136281,12479,08 Laugh,Smiling
1139641,5718,06 Laugh,Laughing
1141599,3240,11 Laugh,Smiling
1143761,41799,10 Laugh,Not Laughing
1144840,3239,11 Laugh,Laughing
1144881,23238,09 Laugh,Not Laughing
1145200,22759,07 Laugh,Not Laughing
1145360,1680,06 Laugh,Not Laughing
1147040,20520,06 Laugh,Not Laughing
1148119,36320,11 Laugh,Smiling
1148761,2159,08 Laugh,Indeterminate
1150921,17318,08 Laugh,Not Laughing
1167560,7639,06 Laugh,Indeterminate
1167960,3800,07 Laugh,Smiling
1168120,7160,09 Laugh,Smiling
1168240,9879,08 Laugh,Smiling
1168480,5920,14 Laugh,Smiling
1171761,13119,07 Laugh,Not Laughing
1174439,10481,14 Laugh,Not Laughing
1175200,9852,06 Laugh,Not Laughing
1175281,8399,09 Laugh,Not Laughing
1178120,7239,08 Laugh,Not Laughing
1183681,9999,09 Laugh,Laughing
1184440,9360,11 Laugh,Laughing
1184881,6759,07 Laugh,Laughing
1184921,7038,14 Laugh,Smiling
1185053,10146,06 Laugh,Indeterminate
1185360,8719,08 Laugh,Smiling
1185561,1518,10 Laugh,Smiling
1187080,4759,10 Laugh,Laughing
1191641,16879,07 Laugh,Not Laughing
1191840,16200,10 Laugh,Not Laughing
1191960,22840,14 Laugh,Not Laughing
1193681,14638,09 Laugh,Not Laughing
1193839,15201,11 Laugh,Smiling
1194080,14879,08 Laugh,Not Laughing
1195200,13440,06 Laugh,Not Laughing
1208041,23999,10 Laugh,Smiling
1208320,7480,09 Laugh,Laughing
1208521,6798,07 Laugh,Laughing
1208641,2718,06 Laugh,Laughing
1208960,12080,08 Laugh,Smiling
1209079,11721,11 Laugh,Laughing
1211360,11731,06 Laugh,Indeterminate
1214801,7999,14 Laugh,Smiling
1215320,639,07 Laugh,Not Laughing
1215801,14438,09 Laugh,Not Laughing
1215960,2279,07 Laugh,Smiling
