Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: 01 Laugh, 02 Laugh, 03 Laugh, 05 Laugh, 06 Laugh, 07 Laugh, 08 Laugh, 09 Laugh, 10 Laugh, 11 Laugh, 12 Laugh, 14 Laugh, 15 Laugh
Time,Duration,TrackName,comment

1000281,7438,08 Laugh,Laughing
1000521,5359,05 Laugh,Laughing
1000560,4520,10 Laugh,Laughing
1000600,7319,12 Laugh,Smiling
1000761,3679,09 Laugh,Laughing
1000800,8200,06 Laugh,Laughing
1001120,7999,07 Laugh,Laughing
1001201,3879,03 Laugh,Smiling
1001761,6958,11 Laugh,Laughing
1002321,4559,02 Laugh,Smiling
1004441,3158,09 Laugh,Smiling
1005000,12520,15 Laugh,Smiling
1005081,13038,03 Laugh,Not Smiling Laughing
1005081,9799,10 Laugh,Smiling
1005120,13200,14 Laugh,Smiling
1005881,6038,05 Laugh,Smiling
1006881,11838,02 Laugh,Not Smiling Laughing
1007600,10800,09 Laugh,Not Smiling Laughing
1007720,14040,08 Laugh,Not Smiling Laughing
1007920,10799,12 Laugh,Not Smiling Laughing
1008720,9519,11 Laugh,Not Smiling Laughing
1009001,9238,06 Laugh,Not Smiling Laughing
1009159,4041,07 Laugh,Smiling
1011920,5720,05 Laugh,Not Smiling Laughing
1013201,4838,07 Laugh,Not Smiling Laughing
1014881,12358,10 Laugh,Laughing
1017521,9558,15 Laugh,Laughing
1017641,9039,05 Laugh,Laughing
1018040,3040,07 Laugh,Laughing
1018120,3960,03 Laugh,Laughing
1018240,5839,06 Laugh,Laughing
1018240,6280,11 Laugh,Laughing
1018321,7599,14 Laugh,Laughing
1018401,7159,09 Laugh,Smiling
1018720,7320,02 Laugh,Laughing
1018720,8340,12 Laugh,Laughing
1021081,7398,07 Laugh,Smiling
1021761,5999,08 Laugh,Smiling
1022081,24118,03 Laugh,Not Smiling Laughing
1024080,6999,06 Laugh,Smiling
1024521,20078,11 Laugh,Smiling
1025561,19439,09 Laugh,Not Smiling Laughing
1025921,19798,14 Laugh,Not Smiling Laughing
1026041,19519,02 Laugh,Smiling
1026681,5359,05 Laugh,Not Smiling Laughing
1027060,17379,12 Laugh,Smiling
1027080,74080,15 Laugh,Smiling
1027280,4760,10 Laugh,Smiling
1027761,9678,08 Laugh,Not Smiling Laughing
1028480,8160,07 Laugh,Not Smiling Laughing
1031080,13320,06 Laugh,Not Smiling Laughing
1032041,13278,05 Laugh,Smiling
1032041,4438,10 Laugh,Laughing
1036520,2120,10 Laugh,Smiling
1036641,9438,07 Laugh,Smiling
1037440,5080,08 Laugh,Smiling
1038641,2078,10 Laugh,Laughing
1040720,4759,10 Laugh,Smiling
1042560,3120,08 Laugh,Not Smiling Laughing
1044401,6798,06 Laugh,Laughing
1044440,6840,12 Laugh,Laughing
1044600,6999,11 Laugh,Laughing
1045001,6118,09 Laugh,Laughing
1045320,7519,05 Laugh,Laughing
1045480,8999,10 Laugh,Laughing
1045561,3999,02 Laugh,Laughing
1045681,9638,08 Laugh,Laughing
1045720,8320,14 Laugh,Laughing
1046080,3557,07 Laugh,Laughing
1046200,4800,03 Laugh,Laughing
1049561,18758,02 Laugh,Not Smiling Laughing
1049637,18123,07 Laugh,Smiling
1051001,17238,03 Laugh,Not Smiling Laughing
1051120,16959,09 Laugh,Not Smiling Laughing
1051239,1960,06 Laugh,Smiling
1051319,16000,12 Laugh,Smiling
1051600,16160,11 Laugh,Not Smiling Laughing
1052840,14720,05 Laugh,Not Smiling Laughing
1053200,13879,06 Laugh,Not Smiling Laughing
1054079,18280,14 Laugh,Not Smiling Laughing
1054520,9799,10 Laugh,Smiling
1055320,11999,08 Laugh,Not Smiling Laughing
1064320,3320,10 Laugh,Not Smiling Laughing
1067080,15440,06 Laugh,Laughing
1067320,10159,08 Laugh,Laughing
1067320,8200,12 Laugh,Laughing
1067561,8878,05 Laugh,Smiling
1067641,14958,10 Laugh,Laughing
1067761,14438,07 Laugh,Laughing
1067761,34519,11 Laugh,Smiling
1068080,3759,09 Laugh,Laughing
1068240,1999,03 Laugh,Smiling
1068320,2879,02 Laugh,Laughing
1070240,7479,03 Laugh,Not Smiling Laughing
1071200,4119,02 Laugh,Smiling
1071880,3479,09 Laugh,Smiling
1072360,13640,14 Laugh,Smiling
1075320,13399,02 Laugh,Not Smiling Laughing
1075360,4440,09 Laugh,Laughing
1075521,1479,12 Laugh,Smiling
1076440,4200,05 Laugh,Laughing
1077001,3958,12 Laugh,Indeterminate
1077520,10199,08 Laugh,Not Smiling Laughing
1077720,2639,03 Laugh,Smiling
1079839,10041,09 Laugh,Not Smiling Laughing
1080360,8640,03 Laugh,Not Smiling Laughing
1080641,3078,05 Laugh,Not Smiling Laughing
1080960,18440,12 Laugh,Smiling
1082200,6600,07 Laugh,Smiling
1082560,5759,06 Laugh,Not Smiling Laughing
1082600,16960,10 Laugh,Smiling
1083720,15560,05 Laugh,Smiling
1086040,3799,14 Laugh,Not Smiling Laughing
1087720,5359,08 Laugh,Smiling
1088320,3603,06 Laugh,Laughing
1088720,4479,02 Laugh,Smiling
1088801,2798,07 Laugh,Laughing
1089001,16879,03 Laugh,Smiling
1089840,5200,14 Laugh,Laughing
1089881,2679,09 Laugh,Smiling
1091600,7359,07 Laugh,Smiling
1091924,1817,06 Laugh,Indeterminate
1092561,7199,09 Laugh,Not Smiling Laughing
1093119,6921,08 Laugh,Not Smiling Laughing
1093200,27159,02 Laugh,Not Smiling Laughing
1093741,5939,06 Laugh,Not Smiling Laughing
1095041,5678,14 Laugh,Smiling
1098960,5560,07 Laugh,Laughing
1099281,7239,05 Laugh,Laughing
1099401,5279,12 Laugh,Laughing
1099561,6199,10 Laugh,Laughing
1099681,7131,06 Laugh,Laughing
1099761,3718,09 Laugh,Smiling
1100041,4879,08 Laugh,Laughing
1100720,3920,14 Laugh,Laughing
1101161,4399,15 Laugh,Laughing
1102281,17719,11 Laugh,Not Smiling Laughing
1103480,7080,09 Laugh,Not Smiling Laughing
1104521,15399,07 Laugh,Smiling
1104680,5880,14 Laugh,Not Smiling Laughing
1104719,4961,12 Laugh,Smiling
1104921,4959,08 Laugh,Not Smiling Laughing
1105561,13839,15 Laugh,(null)
1105761,3279,10 Laugh,Smiling
1105880,14319,03 Laugh,Not Smiling Laughing
1106560,12879,05 Laugh,Not Smiling Laughing
1106813,3067,06 Laugh,Not Smiling Laughing
1109041,6398,10 Laugh,Laughing
1109681,5119,12 Laugh,Laughing
1109881,4598,06 Laugh,Smiling
1109881,5718,08 Laugh,Laughing
1110561,5878,09 Laugh,Laughing
1110561,8959,14 Laugh,Smiling
1114480,5280,06 Laugh,Not Smiling Laughing
1114839,5081,12 Laugh,Smiling
1115440,4279,10 Laugh,Smiling
1115600,9040,08 Laugh,Laughing
1116440,2919,09 Laugh,Not Smiling Laughing
1119360,5999,09 Laugh,Laughing
1119401,7239,15 Laugh,Laughing
1119440,7039,05 Laugh,Laughing
1119521,6757,14 Laugh,Laughing
1119720,6840,10 Laugh,Laughing
1119761,4519,06 Laugh,Laughing
1119921,3959,07 Laugh,Laughing
1119921,4678,12 Laugh,Laughing
1120001,6238,11 Laugh,Laughing
1120200,1560,03 Laugh,Laughing
1120360,5072,02 Laugh,Laughing
1121761,1799,03 Laugh,Indeterminate
1123599,27240,03 Laugh,Not Smiling Laughing
1123881,4478,07 Laugh,Not Smiling Laughing
1124281,3279,06 Laugh,Smiling
1124600,4879,12 Laugh,Not Smiling Laughing
1124680,3600,08 Laugh,Not Smiling Laughing
1125360,27119,09 Laugh,Not Smiling Laughing
1125432,3608,02 Laugh,Not Smiling Laughing
1126240,2040,11 Laugh,Smiling
1126278,1002,14 Laugh,Not Smiling Laughing
1126520,3760,05 Laugh,Smiling
1126599,1801,10 Laugh,Smiling
1126680,17240,15 Laugh,Smiling
1127281,9239,14 Laugh,Smiling
1127561,4119,06 Laugh,Laughing
1128281,2838,11 Laugh,Laughing
1128281,9879,08 Laugh,Smiling
1128360,16759,07 Laugh,Smiling
1128401,4718,10 Laugh,Laughing
1129040,4120,02 Laugh,Laughing
1129480,16080,12 Laugh,Smiling
1130319,4681,05 Laugh,Not Smiling Laughing
1131120,32079,11 Laugh,Smiling
1131681,2918,06 Laugh,Smiling
1133160,2079,10 Laugh,Smiling
1133161,10558,02 Laugh,Smiling
1134600,6040,06 Laugh,Laughing
1135001,10318,05 Laugh,Smiling
1135240,4839,10 Laugh,Laughing
1136560,8240,14 Laugh,Not Smiling Laughing
1138161,7239,08 Laugh,Not Smiling Laughing
1140080,5239,10 Laugh,Smiling
1140641,3999,06 Laugh,Not Smiling Laughing
1143760,20599,02 Laugh,Not Smiling Laughing
1143921,12850,15 Laugh,Laughing
1144641,11958,06 Laugh,Laughing
1144801,4839,14 Laugh,Laughing
1145120,12999,07 Laugh,Laughing
1145320,3960,10 Laugh,Laughing
1145320,5840,05 Laugh,Laughing
1145401,4678,08 Laugh,Smiling
1145561,2758,12 Laugh,Laughing
1148320,4680,12 Laugh,Smiling
1149319,961,10 Laugh,Smiling
1149641,3239,14 Laugh,Not Smiling Laughing
1150080,5999,08 Laugh,Laughing
1150281,7438,10 Laugh,Laughing
1150840,5479,03 Laugh,Smiling
1151161,1719,05 Laugh,Not Smiling Laughing
1152480,3800,09 Laugh,Smiling
1152881,1879,05 Laugh,Smiling
1152881,3759,14 Laugh,Smiling
1153001,2999,12 Laugh,Laughing
1154761,8078,05 Laugh,Not Smiling Laughing
1156001,4399,12 Laugh,Smiling
1156080,5119,08 Laugh,Not Smiling Laughing
1156281,7399,09 Laugh,Not Smiling Laughing
1156320,7840,03 Laugh,Not Smiling Laughing
1156600,10119,06 Laugh,Smiling
1156641,3039,14 Laugh,Not Smiling Laughing
1156772,5707,15 Laugh,Not Smiling Laughing
1157760,5640,10 Laugh,Smiling
1158120,5520,07 Laugh,Not Smiling Laughing
1159681,4359,14 Laugh,Smiling
1160401,1958,12 Laugh,Not Smiling Laughing
1161200,4639,08 Laugh,Smiling
1162360,14774,12 Laugh,Laughing
1162480,879,15 Laugh,Smiling
1162840,3279,05 Laugh,Smiling
1163200,32651,11 Laugh,Laughing
1163360,22097,15 Laugh,Laughing
1163401,14265,10 Laugh,Laughing
1163641,8039,07 Laugh,Laughing
1163681,3079,09 Laugh,Smiling
1164041,10959,14 Laugh,Laughing
1164161,1918,03 Laugh,Laughing
1164360,12441,02 Laugh,Laughing
1165840,1519,08 Laugh,Not Smiling Laughing
1166080,3119,03 Laugh,Smiling
1166120,11999,05 Laugh,Laughing
1166720,9680,06 Laugh,Laughing
1166761,9316,09 Laugh,Laughing
1167360,5599,08 Laugh,Laughing
1169200,2159,03 Laugh,Not Smiling Laughing
1171360,4680,03 Laugh,Smiling
1171681,16199,07 Laugh,Smiling
1172960,4879,08 Laugh,Not Smiling Laughing
1175001,19358,14 Laugh,Smiling
1176041,3438,03 Laugh,Not Smiling Laughing
1176077,2963,09 Laugh,Not Smiling Laughing
1176401,1879,06 Laugh,Not Smiling Laughing
1176801,8158,02 Laugh,Smiling
1177134,2065,12 Laugh,Smiling
1177666,1839,10 Laugh,Smiling
1177840,9160,08 Laugh,Smiling
1178120,4079,05 Laugh,Smiling
1178281,1198,06 Laugh,Smiling
1179041,4479,09 Laugh,Smiling
1179200,2800,12 Laugh,Laughing
1179480,1839,03 Laugh,Laughing
1179480,3999,06 Laugh,Laughing
1179505,22734,10 Laugh,Laughing
1181320,1680,03 Laugh,Smiling
1182040,6039,12 Laugh,Smiling
1182239,2080,05 Laugh,Not Smiling Laughing
1183001,4919,03 Laugh,Not Smiling Laughing
1183480,1119,06 Laugh,Smiling
1183521,10558,09 Laugh,Laughing
1184320,2680,05 Laugh,Smiling
1184600,6320,06 Laugh,Laughing
1184960,2720,02 Laugh,Laughing
1185457,3502,15 Laugh,Smiling
1187001,4078,08 Laugh,Laughing
1187001,5999,05 Laugh,Laughing
1187681,4719,02 Laugh,Smiling
1187881,4919,07 Laugh,Laughing
1187921,3359,03 Laugh,Smiling
1188080,4519,12 Laugh,Laughing
1188960,4065,15 Laugh,Laughing
1190959,3120,06 Laugh,Smiling
1191080,2879,08 Laugh,Indeterminate
1191281,3239,03 Laugh,Not Smiling Laughing
1192401,2399,02 Laugh,Not Smiling Laughing
1192640,2319,12 Laugh,Smiling
1192801,1599,07 Laugh,Smiling
1193025,2079,15 Laugh,Smiling
1193040,5960,05 Laugh,Smiling
1193960,1119,08 Laugh,Not Smiling Laughing
1194080,8242,06 Laugh,Laughing
1194119,1641,09 Laugh,Smiling
1194360,4640,14 Laugh,Laughing
1194401,4718,07 Laugh,Laughing
1194521,2718,03 Laugh,Laughing
1194801,5158,02 Laugh,Smiling
1194960,1879,12 Laugh,Laughing
1195080,1840,08 Laugh,Smiling
1195104,6975,15 Laugh,Laughing
1195800,6444,09 Laugh,Laughing
1195852,3788,11 Laugh,Smiling
1196840,5342,12 Laugh,Smiling
1196921,2999,08 Laugh,Not Smiling Laughing
1197240,2760,03 Laugh,Not Smiling Laughing
1199001,3238,05 Laugh,Laughing
1199001,999,14 Laugh,Smiling
1199120,3199,07 Laugh,Smiling
1199641,2558,11 Laugh,Laughing
1199921,2318,08 Laugh,Smiling
1199960,2239,02 Laugh,Laughing
1200001,2078,14 Laugh,Laughing
1200001,2358,03 Laugh,Smiling
1202200,200,02 Laugh,Smiling
297519,11440,15 Laugh,Smiling
297519,2040,12 Laugh,Smiling
297519,23961,10 Laugh,Smiling
297519,32961,11 Laugh,Not Smiling Laughing
297519,5921,14 Laugh,Smiling
297559,17720,06 Laugh,Not Smiling Laughing
297559,18560,08 Laugh,Not Smiling Laughing
297559,26096,02 Laugh,Not Smiling Laughing
297559,40641,03 Laugh,Not Smiling Laughing
297559,5881,05 Laugh,Smiling
297559,6041,09 Laugh,Smiling
297559,720,07 Laugh,Smiling
297600,904800,01 Laugh,Indeterminate
298280,17360,07 Laugh,Not Smiling Laughing
299560,15640,12 Laugh,Not Smiling Laughing
303441,10238,14 Laugh,Not Smiling Laughing
303441,5319,05 Laugh,Not Smiling Laughing
303601,11439,09 Laugh,Not Smiling Laughing
308761,1318,05 Laugh,Smiling
308960,29680,15 Laugh,Not Smiling Laughing
310080,13400,05 Laugh,Not Smiling Laughing
313680,2760,14 Laugh,Smiling
315041,8271,09 Laugh,Smiling
315201,29198,12 Laugh,Smiling
315280,5640,06 Laugh,Laughing
315641,3959,07 Laugh,Smiling
316120,13040,08 Laugh,Smiling
316441,5958,14 Laugh,Not Smiling Laughing
319601,3638,07 Laugh,Laughing
320921,7918,06 Laugh,Not Smiling Laughing
321481,1999,10 Laugh,Not Smiling Laughing
322400,6240,14 Laugh,Smiling
323240,6719,07 Laugh,Not Smiling Laughing
323320,4759,09 Laugh,Laughing
323481,24758,05 Laugh,Smiling
323481,5358,10 Laugh,Smiling
323655,2464,02 Laugh,Smiling
326160,4160,02 Laugh,Not Smiling Laughing
328080,1920,09 Laugh,Not Smiling Laughing
328679,21761,14 Laugh,Not Smiling Laughing
328840,2800,10 Laugh,Not Smiling Laughing
328840,4679,06 Laugh,Laughing
329161,5839,08 Laugh,Not Smiling Laughing
329960,3360,07 Laugh,Smiling
330001,4719,09 Laugh,Laughing
330321,5918,02 Laugh,Laughing
330481,6159,11 Laugh,Smiling
331641,18359,10 Laugh,Smiling
333321,11159,07 Laugh,Not Smiling Laughing
333520,2999,06 Laugh,Smiling
334721,2159,09 Laugh,Not Smiling Laughing
335001,3159,08 Laugh,Smiling
336240,7149,02 Laugh,Not Smiling Laughing
336520,5999,06 Laugh,Laughing
336679,7600,11 Laugh,Not Smiling Laughing
336881,3879,09 Laugh,Laughing
338161,3279,08 Laugh,Not Smiling Laughing
338201,2279,03 Laugh,Smiling
338641,16791,15 Laugh,Smiling
340519,11040,03 Laugh,Not Smiling Laughing
340761,3638,09 Laugh,Not Smiling Laughing
341441,1798,08 Laugh,Smiling
342520,2039,06 Laugh,Smiling
343240,2279,08 Laugh,Not Smiling Laughing
343390,5650,02 Laugh,Smiling
344280,1702,11 Laugh,Smiling
344400,10159,09 Laugh,Laughing
344400,4920,12 Laugh,Laughing
344481,2638,07 Laugh,Smiling
344560,4440,06 Laugh,Laughing
345520,3240,08 Laugh,Laughing
