Time, Audience01, Audience02, Audience03, Audience04, Audience05, Audience06, Audience07, Audience08, Audience09, Audience10, Audience11, Audience12, Audience13, Audience14, Audience15, Audience16 
0.0, 0.007, 0.001, 0.004, 0, 0.006, -0.014, -0.011, 0.018, 0.002, 0.001, 0.0, -0.005, 0.005, 0.0, 0.0, 0
0.1, 0.00721, 0.00116, 0.00521, 0, 0.00553, -0.01245, -0.01051, 0.01733, 0.00102, 0.00013, -0.00113, -0.00411, 0.0049, 0.00027, -0.00029, 0
0.2, 0.00801, 0.00076, 0.00626, 0, 0.00506, -0.01122, -0.00987, 0.01703, 0.00126, -0.00042, -0.00156, -0.00365, 0.00459, -0.00034, -0.00026, 0
0.3, 0.00822, 0.00024, 0.00731, 0, 0.0058, -0.01167, -0.0061, 0.01606, 0.00148, -0.00042, -0.00206, -0.00326, 0.00452, -0.00136, -0.00025, 0
0.4, 0.00738, 0.00018, 0.0078, 0, 0.00645, -0.0112, -0.00614, 0.01549, 0.0018, 0.00031, -0.00228, -0.00265, 0.00455, -0.0019, -0.0002, 0
0.5, 0.00668, 0.0001, 0.00807, 0, 0.0081, -0.00944, -0.00691, 0.01535, 0.00204, 0.00156, -0.00176, -0.00311, 0.00448, -0.00162, -0.00035, 0
0.6, 0.00617, 0.00013, 0.00818, 0, 0.01069, -0.00783, 0.00377, 0.0148, 0.00216, 0.00236, -0.00135, -0.00333, 0.00456, -0.00303, -0.00025, 0
0.7, 0.006, 0.00021, 0.00806, 0, 0.01217, -0.00698, -0.00061, 0.01438, 0.00282, 0.00317, -0.00158, -0.0035, 0.00453, -0.00463, -0.00028, 0
0.8, 0.00599, 0.00051, 0.00794, 0, 0.01166, -0.00703, -0.00265, 0.01368, 0.0031, 0.00428, -0.00186, -0.00344, 0.00397, -0.00523, -0.00022, 0
0.9, 0.00574, 0.00031, 0.00834, 0, 0.01194, -0.00668, -0.00215, 0.01317, 0.00366, 0.0054, -0.0018, -0.00329, 0.00403, -0.00495, -0.00024, 0
1.0, 0.00612, -0.00076, 0.00881, 0, 0.01106, -0.00605, -0.00206, 0.013, 0.00456, 0.00629, -0.00188, -0.00307, 0.00375, -0.00402, -0.00031, 0
1.1, 0.00633, -0.00032, 0.00909, 0, 0.00947, -0.00498, 0.00192, 0.01269, 0.00545, 0.00579, -0.00187, -0.00305, 0.00376, -0.00416, -0.00032, 0
1.2, 0.00636, -7e-05, 0.00936, 0, 0.00822, -0.00306, -0.00146, 0.01255, 0.006, 0.00453, -0.00186, -0.00297, 0.00312, -0.00335, -0.00026, 0
1.3, 0.0055, 0.00035, 0.00986, 0, 0.0068, -0.00261, -0.00073, 0.01206, 0.00601, 0.00344, -0.00177, -0.00313, 0.00299, -0.00291, -0.00026, 0
1.4, 0.00497, 0.00087, 0.01033, 0, 0.00334, -0.00335, 0.00037, 0.01057, 0.00585, 0.0028, -0.00206, -0.00284, 0.00293, -0.00325, -0.00036, 0
1.5, 0.00437, 0.00128, 0.01087, 0, 0.00284, -0.00326, -0.00202, 0.01022, 0.00354, 0.00218, -0.00229, -0.00258, 0.00273, -0.00358, -0.00029, 0
1.6, 0.00352, 0.0017, 0.01138, 0, 0.0044, -0.00204, -0.002, 0.00994, 0.00076, 0.00172, -0.00228, -0.00253, 0.00229, -0.00313, -0.00028, 0
1.7, 0.00287, 0.00233, 0.01232, 0, 0.00694, 0.00241, -0.00105, 0.00915, -0.00074, 0.00122, -0.00209, -0.00214, 0.00201, -0.00308, -0.0003, 0
1.8, 0.00217, 0.0029, 0.01316, 0, 0.00814, 0.00563, -0.00112, 0.00853, -0.00133, 0.0004, -0.00181, -0.00205, 0.00171, -0.00292, -0.00032, 0
1.9, 0.00138, 0.00387, 0.0138, 0, 0.00551, 0.00109, 0.00083, 0.00791, -0.0018, 3e-05, -0.00183, -0.00217, 0.00146, -0.00272, -0.00024, 0
2.0, 0.00219, 0.00443, 0.01419, 0, 0.00493, 0.00031, -0.001, 0.00765, -0.00179, -1e-05, -0.00159, -0.00194, 0.00126, -0.00311, -0.00028, 0
2.1, 0.00239, 0.00646, 0.01395, 0, 0.00455, -0.00125, -0.00289, 0.00748, -0.00124, -0.00014, -0.00084, -0.00183, 0.00119, -0.00299, -0.00029, 0
2.2, 0.00236, 0.00853, 0.01209, 0, 0.00354, -0.00156, -0.00315, 0.00722, -0.00068, -0.00083, 0.00017, -0.0022, 0.00198, -0.00233, -0.00031, 0
2.3, 0.00234, 0.0082, 0.00934, 0, 0.0024, -0.00261, -0.00108, 0.00661, 0.00101, -0.00115, 0.00042, -0.00195, 0.00313, -0.00198, -0.0003, 0
2.4, 0.0021, 0.00747, 0.0072, 0, 0.00139, -0.00343, 0.00152, 0.0063, 0.00356, -0.00099, -0.00075, -0.0003, 0.00377, -0.00213, -0.00028, 0
2.5, 0.00179, 0.00704, 0.00546, 0, 0.00148, -0.00355, 0.00376, 0.00515, 0.00515, -0.00043, -0.00128, 0.00466, 0.00405, -0.00209, -0.00028, 0
2.6, 0.00161, 0.00689, 0.00397, 0, 0.00077, -0.00362, 0.00509, 0.0038, 0.00574, -0.00029, -0.00042, 0.01733, 0.00394, -0.00307, -0.0003, 0
