Time Audience01 Audience02 Audience03 Audience04 Audience05 Audience06 Audience07 Audience08 Audience09 Audience10 Audience11 Audience12 Audience13 Audience14 Audience15 Audience16 
0.0 0.003 0.0 0.0 0 0.001 -0.001 0.006 0.005 0.002 -0.005 0.001 0.001 0.0 -0.013 0.003 0
0.1 0.00105 2e-05 0.00123 0 0.00173 -0.00106 0.00414 0.00374 0.00115 -0.00525 0.00118 0.00172 -0.00085 -0.01318 0.00217 0
0.2 0.00117 -1e-05 0.0008 0 0.00203 -0.00022 -0.00487 0.00408 0.00335 -0.00452 0.00101 0.00244 -0.00072 -0.01323 0.00245 0
0.3 0.00102 0.00038 0.00051 0 0.00104 0.00116 -0.00972 0.00532 0.00346 -0.00548 0.00077 0.00343 -0.00072 -0.01233 0.00271 0
0.4 0.00091 0.0012 0.00012 0 0.00089 0.00195 -0.00905 0.00335 0.00307 -0.00361 0.00063 0.00306 -0.00072 -0.01202 0.00275 0
0.5 0.00099 0.0018 4e-05 0 0.00194 0.00247 -0.00835 0.00227 0.003 -0.00304 0.00044 0.00389 -0.00079 -0.01061 0.00229 0
0.6 0.00083 0.00222 0.00021 0 0.00287 0.00344 -0.00781 0.00042 0.00127 0.00023 9e-05 0.00452 -0.00082 -0.00869 0.00143 0
0.7 0.00089 0.00268 -0.00013 0 0.00433 0.00475 -0.00957 -0.00087 -9e-05 0.00407 -9e-05 0.00561 -0.00082 -0.00659 0.00102 0
0.8 0.00066 0.00287 -0.00015 0 0.00584 0.00601 -0.0129 -0.00057 0.00056 0.00728 -0.00015 0.0081 -0.0007 -0.00388 0.00081 0
0.9 0.00059 0.00287 -0.00022 0 0.00565 0.00791 -0.01391 -0.0001 0.00041 0.01012 -0.00018 0.00885 -0.00083 -0.00102 0.00066 0
1.0 0.00051 0.00284 0.00041 0 0.00503 0.00928 -0.013 -0.0003 0.00106 0.01122 -0.00019 0.01567 -0.00073 0.00215 0.00056 0
1.1 0.00037 0.00233 0.00138 0 0.00466 0.01555 -0.01195 0.00049 1e-05 0.01038 -5e-05 0.01539 -0.00072 0.00415 0.00033 0
1.2 0.00036 0.00157 0.0025 0 0.00403 0.02142 -0.01054 0.0015 -0.00029 0.00801 0.00024 0.01592 -0.00072 0.00666 0.00038 0
1.3 0.00033 0.00091 0.00287 0 0.00368 0.01623 -0.00922 0.00132 -0.00016 0.00571 0.001 0.01922 -0.00074 0.00961 0.00044 0
1.4 0.00024 0.00026 0.00209 0 0.00357 0.00787 -0.00902 0.00052 -0.00049 0.00445 0.00128 0.019 -0.00071 0.01162 0.00045 0
1.5 0.00033 -9e-05 0.00203 0 0.0032 0.00142 -0.00882 -0.00045 -0.00045 0.00391 0.0016 0.01826 -0.00074 0.01279 0.00052 0
1.6 0.00035 -0.00017 0.00183 0 0.00302 -0.00261 -0.00922 -0.00097 -0.00021 0.00343 0.00163 0.0166 -0.00068 0.01304 0.00123 0
1.7 0.00044 -0.00039 0.00168 0 0.00291 -0.00408 -0.00961 -0.00123 -0.0007 0.00302 0.00163 0.01209 -0.00073 0.0128 0.0017 0
1.8 0.00037 -0.0005 0.00154 0 0.00226 -0.00447 -0.01014 -0.00107 -0.00105 0.00277 0.00161 0.00973 -0.00066 0.01205 0.00183 0
