Time Audience01 Audience02 Audience03 Audience04 Audience05 Audience06 Audience07 Audience08 Audience09 Audience10 Audience11 Audience12 Audience13 Audience14 Audience15 Audience16 
0.0 0.005 0.012 0.011 0 0.002 -0.003 0.0 -0.002 0.009 0.003 0.001 -0.011 0.003 -0.004 0.001 0
0.1 0.00168 0.01294 0.01 0 0.00115 -0.00269 -0.00048 -0.00034 0.01411 0.00264 6e-05 -0.01014 0.00292 -0.00327 0.00142 0
0.2 0.0017 0.0138 0.00933 0 0.00101 -0.00319 0.00258 0.00013 0.01486 0.00036 -1e-05 -0.00968 0.00299 -0.00226 0.00089 0
0.3 0.00171 0.01335 0.00915 0 0.00087 -0.00379 0.00523 0.00034 0.01045 -0.00238 -1e-05 -0.00914 0.00299 -0.00072 0.00043 0
0.4 0.00184 0.013 0.00901 0 0.00077 -0.0035 0.00865 0.00076 0.0065 -0.00242 4e-05 -0.00864 0.00292 0.00178 0.0007 0
0.5 0.00181 0.01372 0.00815 0 0.00072 -0.00254 0.01205 -0.00043 0.00303 0.00132 5e-05 -0.00856 0.00279 0.00419 0.00119 0
0.6 0.00196 0.01308 0.00806 0 0.00065 0.00122 0.01504 -0.00059 0.00112 0.00371 3e-05 -0.0085 0.00264 0.00622 0.00194 0
0.7 0.00212 0.01294 0.0082 0 0.00027 0.0031 0.01574 -1e-05 0.00086 0.00764 0.00012 -0.00777 0.00255 0.00756 0.00239 0
0.8 0.0023 0.01203 0.00791 0 0.00024 0.00286 0.0159 3e-05 0.00082 0.00768 0.00023 -0.00724 0.00294 0.00948 0.00282 0
0.9 0.00234 0.01053 0.00822 0 4e-05 0.00285 0.01708 0.00046 -0.0008 0.00387 3e-05 -0.00675 0.00325 0.01154 0.00307 0
1.0 0.00235 0.00937 0.00885 0 0.00011 0.00305 0.01693 0.00018 -0.00222 0.00501 -0.00051 -0.0066 0.00326 0.01318 0.00305 0
1.1 0.0024 0.00888 0.00944 0 0.00014 0.00327 0.0176 -0.00031 -0.00288 0.00582 -0.00106 -0.00644 0.00302 0.01395 0.00263 0
1.2 0.00253 0.0092 0.00935 0 9e-05 0.00417 0.01634 -0.00154 -0.00278 0.00661 -0.00158 -0.00599 0.00316 0.01373 0.00203 0
1.3 0.0024 0.00967 0.00983 0 0.0 0.00583 0.01425 -0.00281 -0.00297 0.0071 -0.00174 -0.00557 0.00337 0.01278 0.00153 0
1.4 0.00257 0.00763 0.01072 0 -2e-05 0.00668 0.0119 -0.00403 -0.00295 0.00778 -0.00247 -0.00516 0.00383 0.01111 0.00143 0
1.5 0.00285 0.00647 0.01154 0 -3e-05 0.00527 0.01089 -0.00422 -0.00259 0.00871 -0.00241 -0.00483 0.00325 0.00966 0.00145 0
1.6 0.00304 0.00711 0.0105 0 7e-05 0.0047 0.0098 -0.00446 -0.0029 0.00604 -0.00101 -0.00435 0.00325 0.00778 0.00151 0
1.7 0.00307 0.00935 0.00877 0 -8e-05 0.00289 0.00849 -0.00498 -0.00302 0.00304 0.00134 -0.00384 0.00321 0.00637 0.00142 0
1.8 0.00302 0.01211 0.00719 0 0.0 0.00115 0.00779 -0.00542 -0.00183 0.004 0.00242 -0.0032 0.00378 0.00513 0.0014 0
1.9 0.00308 0.0115 0.01104 0 -4e-05 -0.00045 0.00599 -0.0052 0.00074 0.00575 0.00283 -0.00277 0.00393 0.00417 0.00149 0
2.0 0.00306 0.01106 0.01066 0 -1e-05 -0.00089 0.00431 -0.00466 0.00286 0.00553 0.00303 -0.00238 0.00393 0.00348 0.00142 0
2.1 0.00305 0.01101 0.00316 0 0.00016 -0.00175 0.00394 -0.00411 0.00346 0.00243 0.00304 -0.00219 0.00336 0.00295 0.00156 0
2.2 0.003 0.01105 0.00012 0 0.00051 -0.00262 0.00354 -0.00346 0.00413 6e-05 0.00312 -0.00139 0.00302 0.00222 0.00163 0
2.3 0.00313 0.01166 -0.00151 0 0.00091 -0.003 0.00253 -0.00277 0.00425 -0.00222 0.00311 -0.00012 0.00404 0.00099 0.00159 0
2.4 0.00318 0.01223 -0.00214 0 0.00115 -0.00314 0.00149 -0.00216 0.00409 -0.0052 0.00318 0.00133 0.00356 0.00044 0.00161 0
2.5 0.00309 0.01179 -0.00267 0 0.00155 -0.00322 -0.0001 -0.00188 0.00419 -0.00585 0.00311 0.00311 0.0032 0.00152 0.00168 0
2.6 0.00318 0.01085 -0.00201 0 0.00191 -0.00376 -0.00147 -0.00188 0.00364 -0.00593 0.00294 0.00476 0.00347 0.00332 0.00152 0
2.7 0.00326 0.00861 0.00123 0 0.00216 -0.00336 -0.00198 -0.00187 0.00415 -0.00594 0.00281 0.00716 0.00307 0.0065 0.00138 0
2.8 0.00314 0.00712 0.00336 0 0.00201 -0.00276 -0.00193 -0.00242 0.00378 -0.00654 0.0027 0.00989 0.00349 0.00908 0.00124 0
2.9 0.00313 0.00681 -0.00041 0 0.00186 -0.00113 -0.00183 -0.00256 0.00312 -0.00678 0.00268 0.01252 0.00321 0.01171 0.00134 0
3.0 0.00312 0.00607 -0.00701 0 0.00169 0.00082 -0.00143 -0.00234 0.0004 -0.00697 0.00233 0.0156 0.00256 0.01379 0.00167 0
3.1 0.00303 0.00714 -0.00915 0 0.00122 0.0025 -0.00108 -0.00204 0.00174 -0.00667 0.00176 0.01785 0.00258 0.01818 0.00184 0
3.2 0.00301 0.00614 -0.0104 0 0.00084 0.00361 -0.00075 -0.00192 0.00192 -0.00673 0.00108 0.01985 0.00293 0.03284 0.00186 0
3.3 0.00299 0.00468 -0.00901 0 0.00064 0.00434 -0.00076 -0.00175 0.00038 -0.00544 0.00012 0.02254 0.00321 0.03445 0.00197 0
3.4 0.00301 0.00399 -0.00917 0 0.00061 0.00544 -0.00158 -0.00139 0.00057 -0.00709 0.00037 0.02266 0.00324 0.03417 0.00215 0
3.5 0.00305 0.00346 -0.0075 0 0.00064 0.00639 -0.00263 -0.00157 -0.00106 -0.00559 0.00257 0.02132 0.00288 0.02406 0.00231 0
3.6 0.00311 0.00308 -0.00618 0 0.0007 0.00693 -0.00365 -0.00146 -0.00065 -0.00516 0.00517 0.01968 0.00289 0.00718 0.00206 0
3.7 0.00327 0.00215 -0.0047 0 0.00072 0.00658 -0.00415 -0.00099 0.00257 -0.00191 0.00717 0.01798 0.00375 -0.00036 0.00158 0
3.8 0.00328 0.0012 -0.00355 0 0.00078 0.00605 -0.00473 -0.00032 0.00345 -0.00187 0.00941 0.01609 0.00336 -0.01424 0.00126 0
3.9 0.00321 0.00172 -0.00352 0 0.00081 0.00467 -0.00469 -0.00037 0.0026 -2e-05 0.01157 0.01366 0.00336 -0.01811 0.00119 0
4.0 0.00321 0.00264 -0.00703 0 0.00075 0.00384 -0.00406 -0.00025 0.00414 0.00272 0.01263 0.01191 0.00339 -0.01796 0.00116 0
4.1 0.0032 0.00422 -0.00907 0 0.00046 0.00272 -0.00343 9e-05 0.00485 0.00194 0.01345 0.0098 0.00366 -0.01697 0.00116 0
4.2 0.00332 0.00572 -0.00823 0 4e-05 0.00199 -0.00275 0.00031 0.00338 0.00059 0.01326 0.00829 0.00328 -0.01611 0.00128 0
4.3 0.00315 0.00607 -0.00696 0 6e-05 0.002 -0.00221 -0.00015 0.00268 -5e-05 0.01289 0.00777 0.00299 -0.01539 0.00158 0
4.4 0.003 0.00694 -0.00439 0 0.00024 0.00182 -0.00218 -0.00032 0.00438 -0.0015 0.01451 0.00731 0.00317 -0.01523 0.00157 0
4.5 0.00295 0.00773 -0.00238 0 0.00072 0.00166 -0.0021 -1e-05 0.00377 -0.00266 0.01631 0.00677 0.00302 -0.01404 0.00169 0
4.6 0.00263 0.00771 -0.00183 0 0.00107 0.00135 -0.00174 0.00089 0.00136 -0.00281 0.01609 0.00659 0.003 -0.01308 0.0016 0
4.7 0.00251 0.0082 -0.0025 0 0.00147 -5e-05 -0.00131 0.00187 0.00303 -0.00198 0.01623 0.00549 0.00298 -0.01254 0.00161 0
4.8 0.00262 0.00811 -0.00201 0 0.00169 -9e-05 -0.00073 0.00276 0.00287 -0.00084 0.01104 0.00428 0.0029 -0.01046 0.00147 0
4.9 0.00282 0.00782 0.00075 0 0.00196 -0.00059 0.0005 0.00349 0.00057 -0.00064 0.00672 0.00407 0.00298 -0.0083 0.00147 0
5.0 0.00299 0.00787 0.00482 0 0.0023 -0.00098 0.00177 0.00393 -0.0025 -0.00126 0.00663 0.00368 0.00295 -0.00661 0.00138 0
5.1 0.00291 0.00814 0.0101 0 0.00231 -0.00202 0.00295 0.00477 -0.00059 -0.0009 0.0062 0.00348 0.00291 -0.00344 0.00126 0
5.2 0.00246 0.00817 0.01679 0 0.00208 -0.00294 0.00433 0.00603 0.00031 -0.00097 0.00569 0.00345 0.00286 -7e-05 0.00179 0
5.3 0.00246 0.00712 0.01371 0 0.0019 -0.00127 0.00553 0.00702 -0.00058 -0.002 0.00473 0.00316 0.00287 0.00237 0.00251 0
5.4 0.0024 0.00585 0.00924 0 0.00139 0.00137 0.00576 0.00738 0.00382 -0.00184 0.00393 0.00278 0.00267 0.00392 0.00305 0
5.5 0.00259 0.00566 0.00045 0 0.00099 0.00126 0.00515 0.00703 0.00599 -0.00263 0.0008 0.00277 0.00251 0.00413 0.00338 0
5.6 0.00286 0.0057 -0.00363 0 0.00052 0.00154 0.00394 0.00596 0.00445 -0.00348 -0.00029 0.00248 0.0024 0.00394 0.00375 0
5.7 0.00277 0.00616 -0.00141 0 0.0004 0.00263 0.00291 0.00523 0.00627 -0.00292 -0.00291 0.00236 0.00228 0.00308 0.00414 0
5.8 0.00294 0.00682 0.00146 0 0.00037 0.00294 0.00206 0.0035 0.00558 -0.00224 -0.00402 0.00241 0.00235 0.0023 0.00462 0
5.9 0.0031 0.00651 0.00284 0 0.00032 0.00356 0.00146 0.00264 0.00212 -0.00116 -0.00496 0.00229 0.00234 0.00168 0.00492 0
6.0 0.00322 0.00606 0.00407 0 0.00037 0.00491 0.00094 0.00232 0.0025 -0.00201 -0.00518 0.00217 0.00257 0.00119 0.00483 0
6.1 0.00323 0.00597 0.00533 0 0.00023 0.00651 0.00066 0.00328 0.00274 -0.00187 -0.00486 0.00156 0.00244 0.00077 0.00472 0
6.2 0.00326 0.00716 0.00629 0 0.00013 0.00744 -7e-05 0.00394 0.00455 -0.00261 -0.00448 0.00087 0.00248 0.00018 0.00427 0
6.3 0.00332 0.00895 0.00688 0 0.00019 0.00782 -0.0009 0.00447 0.00394 -0.00278 -0.00439 0.00068 0.00236 -0.0005 0.00404 0
6.4 0.00346 0.00988 0.00565 0 0.00021 0.00703 -0.00116 0.00423 0.00361 -0.00188 -0.00527 0.00082 0.00224 -0.00067 0.00359 0
6.5 0.00354 0.00963 0.00415 0 0.00027 0.00623 -0.00116 0.00383 0.00367 -0.0014 -0.00516 0.00106 0.00198 -0.00065 0.00279 0
6.6 0.00375 0.00862 0.00242 0 0.00037 0.00606 -0.00123 0.0034 0.00528 -0.00127 -0.00504 0.00123 0.00198 -0.00072 0.00254 0
6.7 0.00389 0.00796 0.00088 0 0.00027 0.00572 -0.00121 0.00352 0.00274 0.00029 -0.00523 0.00126 0.00197 -0.00066 0.00244 0
6.8 0.00404 0.00772 -0.00032 0 0.00042 0.00571 -0.00137 0.00477 0.00281 0.00108 -0.00531 0.00162 0.00207 -0.00078 0.00242 0
6.9 0.00408 0.00706 -0.00154 0 0.00024 0.00501 -0.00162 0.00568 0.00341 0.00132 -0.00516 0.00193 0.00245 -0.00042 0.00221 0
7.0 0.00444 0.00707 -0.00351 0 0.00023 0.00409 -0.0016 0.00607 0.00498 0.00171 -0.00484 0.00229 0.0029 0.00077 0.00197 0
7.1 0.00464 0.0068 -0.00535 0 0.00025 0.00295 -0.00154 0.00605 0.00557 0.00113 -0.00445 0.00312 0.00302 0.00183 0.00175 0
7.2 0.00479 0.00612 -0.00611 0 0.00052 0.00189 -0.00142 0.00546 0.00664 0.00089 -0.00401 0.00505 0.00304 0.00275 0.00147 0
7.3 0.00461 0.00617 -0.00544 0 0.00079 0.00079 -0.00125 0.00482 0.00684 0.00075 -0.00387 0.00545 0.00295 0.00369 0.00114 0
7.4 0.00476 0.00643 -0.00279 0 0.00116 -0.00029 -0.00121 0.0038 0.00618 0.00086 -0.00387 0.0052 0.00269 0.00499 0.00092 0
7.5 0.00508 0.007 -0.00033 0 0.00162 -0.00085 4e-05 0.00302 0.00566 0.00113 -0.00362 0.00421 0.00228 0.00594 0.0005 0
7.6 0.00537 0.00707 0.00165 0 0.00191 -0.00119 0.00284 0.003 0.00493 0.00159 -0.00331 0.00287 0.00201 0.0071 0.00025 0
7.7 0.00569 0.00687 0.00209 0 0.00217 -0.0015 0.00532 0.00283 0.00318 0.0015 -0.00304 0.00296 0.00189 0.00844 0.00111 0
7.8 0.00607 0.00658 0.00288 0 0.00227 -0.00183 0.00636 0.00278 0.00241 0.00123 -0.00276 0.00326 0.00175 0.0092 0.00158 0
7.9 0.00623 0.00654 0.00286 0 0.00214 -0.00242 0.00569 0.00325 0.00613 0.00153 -0.00257 0.00416 0.00167 0.00925 0.00187 0
8.0 0.00618 0.00681 0.00273 0 0.00189 -0.00248 0.00459 0.00337 0.00676 0.0017 -0.00255 0.00425 0.00174 0.00842 0.00182 0
8.1 0.00585 0.00696 0.00344 0 0.00138 -0.00254 0.00471 0.00304 0.00458 0.00085 -0.00253 0.00421 0.00152 0.00755 0.0021 0
8.2 0.00532 0.00703 0.00335 0 0.00114 -0.003 0.00648 0.0025 0.0052 0.00036 -0.00246 0.00385 0.00138 0.00668 0.00239 0
8.3 0.00509 0.00891 0.0017 0 0.0008 -0.00334 -0.00066 0.00234 0.00639 0.00081 -0.00245 0.00351 0.00138 0.00558 0.00243 0
8.4 0.00512 0.01508 -0.00019 0 0.00033 -0.00395 -0.005 0.00295 0.00702 0.00114 -0.00242 0.00328 0.00172 0.00433 0.00227 0
8.5 0.00539 0.01676 -0.00147 0 0.0002 -0.00377 -0.00704 0.00387 0.00635 0.00106 -0.00239 0.00271 0.00184 0.00334 0.00233 0
8.6 0.00529 0.01613 -0.00227 0 0.00018 -0.00367 -0.01491 0.00391 0.00402 0.00101 -0.00224 0.00111 0.00202 0.00279 0.00249 0
8.7 0.00502 0.01638 -0.00282 0 0.0002 -0.00359 -0.0202 0.00423 0.00036 0.00108 -0.0021 -0.00137 0.00224 0.0019 0.00186 0
8.8 0.00469 0.01374 -0.00278 0 0.00019 -0.00309 -0.02463 0.00484 0.00032 0.00126 -0.00202 -0.00327 0.00253 0.00097 0.00135 0
8.9 0.00432 0.01213 -0.00307 0 0.00023 -0.00276 -0.02451 0.00523 0.00041 0.00112 -0.00205 -0.00179 0.00255 0.00062 0.00104 0
9.0 0.00399 0.01257 -0.00359 0 0.00026 -0.00106 -0.02175 0.00611 0.00207 0.00094 -0.00204 -5e-05 0.00217 0.0003 0.00069 0
9.1 0.00385 0.01409 -0.00376 0 0.00022 0.00041 -0.01814 0.00585 0.00358 0.00069 -0.00196 -0.00036 0.00287 -7e-05 0.00058 0
9.2 0.0038 0.01473 -0.00417 0 0.00016 0.00182 -0.01615 0.00577 0.0043 0.00077 -0.00183 -9e-05 0.00303 -0.00031 0.00074 0
9.3 0.00405 0.01512 -0.00449 0 0.00012 0.00281 -0.01379 0.00549 0.0038 0.00068 -0.00169 0.00095 0.00305 -0.0005 0.00065 0
9.4 0.00447 0.01391 -0.00371 0 0.0002 0.00374 -0.01205 0.00631 0.00387 0.0005 -0.00155 0.00398 0.00304 -0.00104 0.00072 0
9.5 0.00475 0.01437 -0.00235 0 0.00018 0.00407 -0.01057 0.00122 0.00461 0.00075 -0.00139 0.00751 0.00296 -0.00145 0.00058 0
9.6 0.00506 0.01461 -0.0003 0 0.00025 0.00475 -0.00933 -0.00376 0.00461 0.00092 -0.00125 0.01082 0.00295 -0.00152 0.00036 0
9.7 0.00526 0.01328 0.00156 0 0.00026 0.00472 -0.00823 -0.00694 0.00349 0.0011 -0.00116 0.01231 0.00294 -0.0014 0.00055 0
9.8 0.00524 0.01422 0.00291 0 0.00027 0.00388 -0.00791 -0.00952 0.0029 0.00075 -0.00132 0.01482 0.00286 -0.00104 0.00057 0
9.9 0.0053 0.0131 0.00414 0 0.0004 0.00351 -0.00758 -0.00931 0.00378 0.0007 -0.00125 0.01812 0.00287 -0.00042 0.00053 0
10.0 0.00523 0.00661 0.00463 0 0.00048 0.00283 -0.00709 -0.00372 0.00551 0.00092 -0.00121 0.02068 0.00267 0.00077 0.00053 0
10.1 0.00492 0.00438 0.0049 0 0.00086 0.00226 -0.00651 0.00078 0.00628 0.00068 -0.00114 0.01966 0.00256 0.00191 0.00058 0
10.2 0.00496 0.00456 0.00425 0 0.00103 0.00135 -0.00616 -0.00083 0.0062 0.00037 -0.00085 0.01678 0.00238 0.00321 0.00061 0
10.3 0.00514 0.00137 0.00253 0 0.00126 0.00039 -0.00596 -0.00056 0.00685 0.00031 -0.00082 0.01561 0.0024 0.00458 0.0006 0
10.4 0.0052 -0.0045 0.00133 0 0.00149 -0.00042 -0.00579 -0.00151 0.00689 0.00011 -0.00088 0.01394 0.00245 0.00616 0.0007 0
