TimeStamp, Frame, Person_02_Happy, Person_02_MouthOpen, Person_03_Happy, Person_03_MouthOpen, Person_05_Happy, Person_05_MouthOpen, Person_06_Happy, Person_06_MouthOpen, Person_07_Happy, Person_07_MouthOpen, Person_08_Happy, Person_08_MouthOpen, Person_09_Happy, Person_09_MouthOpen, Person_10_Happy, Person_10_MouthOpen, Person_11_Happy, Person_11_MouthOpen, Person_13_Happy, Person_13_MouthOpen, Person_14_Happy, Person_14_MouthOpen
0.0, 8, -10, -10, -10, -10, 27.778, 0.000, -10, -10, -10, -10, 24.444, 0.000, 48.889, 40.000, 31.111, 16.000, 60.000, 0.000, 17.778, 65.333, 0.000, 0.000
0.096005, 9, 91.111, 30.667, -10, -10, 38.889, 0.000, -10, -10, 100.000, 20.000, 18.333, 11.333, 31.667, 40.000, 9.444, 0.000, 51.111, 0.000, 0.000, 55.333, 0.000, 0.000
0.225013, 10, 100.000, 56.000, -10, -10, 38.889, 0.000, -10, -10, -5, -5, 18.333, 36.000, 42.963, 10.667, 4.444, 0.000, 64.815, 0.000, 0.000, 49.333, 0.000, 0.000
0.331019, 11, 100.000, 20.000, -10, -10, 38.889, 0.000, -10, -10, -5, -5, 10.833, 85.333, 42.963, 0.000, 10.278, 6.667, 64.815, 0.000, 5.833, 0.000, 0.000, 0.000
0.444025, 12, 94.722, 12.000, -10, -10, 38.889, 13.333, -10, -10, -5, -5, 10.833, 62.667, 42.963, 0.000, 10.278, 0.000, 64.815, 0.000, 5.833, 0.000, 5.833, 0.000
0.53503, 13, 94.722, 0.000, -10, -10, 21.389, 13.333, -10, -10, -10, -10, 1.944, 32.000, 55.556, 0.000, 16.389, 0.000, 64.815, 0.000, 5.833, 15.333, 5.833, 0.000
0.820047, 14, 88.519, 61.333, -10, -10, 11.111, 0.000, -10, -10, -10, -10, 7.778, 69.333, 55.556, 8.000, 16.389, 0.000, 74.815, 0.000, 0.000, 0.000, 0.000, 0.000
0.929053, 15, 100.000, 0.000, -10, -10, 22.963, 0.000, -10, -10, -10, -10, 2.593, 8.000, 55.556, 0.000, 16.389, 0.000, 74.815, 0.000, 0.000, 25.333, 0.000, 0.000
1.318075, 16, 82.778, 2.667, -10, -10, 31.667, 5.333, -10, -10, -10, -10, 0.000, 0.000, 55.556, 0.000, 0.000, 0.000, 79.444, 100.000, 10.556, 40.000, 0.000, 0.000
1.436082, 17, 57.222, 2.667, -10, -10, 8.333, 5.333, -10, -10, -10, -10, 0.000, 17.333, 76.111, 0.000, 6.667, 0.000, 83.889, 70.667, 15.556, 1.333, 12.778, 0.000
1.523087, 18, 70.741, 25.333, -10, -10, 8.333, 0.000, -10, -10, -10, -10, 0.000, 0.000, 64.444, 0.000, -5, -5, 67.407, 38.000, 20.000, 16.000, 19.259, 0.000
1.638094, 19, 64.167, 0.000, -10, -10, 8.333, 6.667, -10, -10, -5, -5, 0.000, 0.000, 59.444, 0.000, -5, -5, 61.111, 82.667, 13.056, 0.000, 11.667, 0.000
1.7561, 20, 73.611, 1.333, -10, -10, 8.333, 0.000, -10, -10, -5, -5, 0.000, 0.000, 53.333, 38.667, -5, -5, 61.111, 42.667, 8.056, 54.667, 21.944, 0.000
1.841105, 21, 89.167, 0.000, -10, -10, 0.000, 3.333, -10, -10, -5, -5, 8.611, 0.000, 46.389, 49.333, -5, -5, 61.111, 42.667, 3.333, 54.667, 16.944, 0.000
1.954112, 22, 89.167, 0.000, -10, -10, 0.000, 0.000, -10, -10, 90.000, 37.333, 8.611, 2.667, 53.889, 0.000, -5, -5, 73.333, 42.667, 0.000, 20.000, 16.944, 0.000
2.051117, 23, 100.000, 0.000, -10, -10, 2.778, 0.000, -10, -10, 99.444, 61.333, 20.278, 0.000, 53.889, 0.000, -5, -5, 90.000, 36.667, 0.000, 9.333, 5.833, 0.000
2.157123, 24, 89.167, 0.000, -10, -10, 2.778, 0.000, -10, -10, 90.741, 0.000, 20.278, 0.000, 59.722, 0.000, -5, -5, 90.000, 36.667, 13.333, 25.333, 0.000, 0.000
2.238128, 25, 89.167, 0.000, -10, -10, 2.778, 0.000, -10, -10, 85.556, 0.000, 20.278, 0.000, 54.444, 0.000, -5, -5, 90.000, 44.667, 19.111, 32.000, 0.000, 0.000
2.355135, 26, 80.556, 0.000, -10, -10, 21.111, 0.000, -10, -10, 79.722, 28.000, 16.111, 0.000, 46.111, 0.000, -5, -5, 97.500, 82.667, 28.333, 68.000, 0.000, 0.000
2.434139, 27, 80.556, 0.000, -10, -10, 21.111, 0.000, -10, -10, 72.444, 10.667, 16.111, 0.000, 41.556, 0.000, -5, -5, 97.500, 72.000, 28.333, 36.667, 0.000, 0.000
2.534145, 28, 76.000, 0.000, -10, -10, 15.778, 0.000, -10, -10, 66.000, 2.667, 11.556, 0.000, 36.667, 0.000, -5, -5, 97.500, 72.000, 34.667, 0.000, 2.667, 0.000
2.80416, 29, 85.185, 0.000, -10, -10, 11.481, 0.000, -10, -10, 55.556, 0.000, 4.815, 0.000, 41.481, 0.000, -5, -5, 97.500, 8.000, 17.778, 70.667, 13.333, 0.000
