TimeStamp, Frame, Person_02_Happy, Person_02_MouthOpen, Person_03_Happy, Person_03_MouthOpen, Person_05_Happy, Person_05_MouthOpen, Person_06_Happy, Person_06_MouthOpen, Person_07_Happy, Person_07_MouthOpen, Person_08_Happy, Person_08_MouthOpen, Person_09_Happy, Person_09_MouthOpen, Person_10_Happy, Person_10_MouthOpen, Person_11_Happy, Person_11_MouthOpen, Person_12_Happy, Person_12_MouthOpen, Person_14_Happy, Person_14_MouthOpen, Person_15_Happy, Person_15_MouthOpen
0.0, 9, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, 0.000, 0.000, -10, -10, 28.889, 0.000, 27.778, 0.000, -10, -10, -10, -10
0.082005, 10, -10, -10, -10, -10, 41.111, 0.000, -10, -10, -10, -10, -10, -10, 0.000, 0.000, -10, -10, 28.889, 0.000, 38.889, 0.000, -10, -10, -10, -10
0.16301, 11, -10, -10, -10, -10, 45.556, 0.000, -10, -10, -10, -10, -10, -10, 0.000, 0.000, -10, -10, 18.519, 0.000, 31.852, 0.000, -10, -10, -10, -10
0.262015, 12, -10, -10, -10, -10, 57.778, 0.000, -10, -10, -10, -10, -10, -10, 0.000, 0.000, -10, -10, 18.519, 0.000, 26.944, 0.000, -10, -10, -10, -10
0.33802, 13, -10, -10, 2.222, 0.000, 62.500, 10.000, -10, -10, -10, -10, -10, -10, 1.111, 0.000, -10, -10, 18.519, 0.000, 26.944, 0.000, -10, -10, -10, -10
0.412024, 14, -10, -10, 36.111, 0.000, 54.667, 16.000, -10, -10, -10, -10, -10, -10, 5.556, 0.000, -10, -10, 18.519, 0.000, 17.333, 0.000, -10, -10, -10, -10
0.491028, 15, -10, -10, 36.111, 16.000, 54.667, 0.000, -10, -10, -10, -10, -10, -10, None, None, -10, -10, 18.519, 14.667, 2.444, 0.000, 60.000, 6.667, -10, -10
0.569033, 16, -10, -10, 42.500, 16.000, 50.222, 0.000, -10, -10, -10, -10, -10, -10, None, None, -10, -10, 23.333, 8.000, 2.444, 0.000, 67.778, 0.000, -10, -10
0.650038, 17, -10, -10, 49.333, 0.000, 54.444, 0.000, -10, -10, -10, -10, -10, -10, None, None, 38.889, 0.000, 23.333, 0.000, 2.444, 0.000, 72.963, 0.000, 31.296, 0.000
0.752043, 18, 48.889, 16.000, 54.000, 0.000, 36.444, 0.000, 63.333, 6.667, -10, -10, -10, -10, None, None, 38.889, 4.667, 13.333, 0.000, 2.444, 0.000, 68.333, 26.667, 31.296, 0.000
0.87005, 19, 53.889, 0.000, 54.000, 80.000, 36.444, 0.000, 63.333, 0.000, -10, -10, -10, -10, None, None, 38.889, 14.667, 13.333, 0.000, 9.556, 26.667, 74.222, 0.000, 17.778, 0.000
1.176068, 20, 89.444, 0.000, 80.556, 6.667, None, None, 63.333, 37.333, -10, -10, -10, -10, None, None, 38.889, 0.000, 30.000, 0.000, 19.444, 1.333, 81.111, 2.667, 17.778, 0.000
1.295074, 21, 100.000, 45.333, 53.889, 6.667, None, None, 72.778, 53.333, -10, -10, -10, -10, None, None, 43.889, 0.000, 30.000, 0.000, 23.889, 0.000, 87.222, 0.000, 22.778, 0.000
