TimeStamp, Frame, Person_02_Happy, Person_02_MouthOpen, Person_03_Happy, Person_03_MouthOpen, Person_04_Happy, Person_04_MouthOpen, Person_05_Happy, Person_05_MouthOpen, Person_06_Happy, Person_06_MouthOpen, Person_07_Happy, Person_07_MouthOpen, Person_08_Happy, Person_08_MouthOpen, Person_09_Happy, Person_09_MouthOpen, Person_10_Happy, Person_10_MouthOpen, Person_11_Happy, Person_11_MouthOpen, Person_12_Happy, Person_12_MouthOpen, Person_13_Happy, Person_13_MouthOpen, Person_14_Happy, Person_14_MouthOpen, Person_15_Happy, Person_15_MouthOpen, Person_16_Happy, Person_16_MouthOpen, Person_18_Happy, Person_18_MouthOpen
0.0, 7, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, 0.000, 0.000
0.111006, 8, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, 4.444, 0.000, -10, -10, -10, -10, -10, -10, -10, -10, 68.889, 37.333, -10, -10, 8.889, 0.000
0.207012, 9, -10, -10, -10, -10, -10, -10, 35.556, 0.000, 82.222, 5.333, -10, -10, -10, -10, -10, -10, 8.889, 0.000, -10, -10, -10, -10, -10, -10, -10, -10, 52.778, 42.667, -10, -10, 4.074, 0.000
0.304017, 10, -10, -10, -10, -10, -10, -10, 35.556, 0.000, 75.000, 33.333, -10, -10, -10, -10, -10, -10, 30.741, 10.667, -10, -10, 56.667, 0.000, -10, -10, -10, -10, 45.926, 28.667, -10, -10, 4.074, 0.000
0.401023, 11, -10, -10, -10, -10, -10, -10, 52.963, 26.667, 75.000, 33.333, -10, -10, -10, -10, -10, -10, 36.667, 18.667, -10, -10, 56.667, 9.333, -10, -10, -10, -10, 36.944, 0.000, -10, -10, 10.000, 13.333
0.483027, 12, -10, -10, -10, -10, -10, -10, 60.278, 4.000, 69.444, 28.000, -10, -10, -10, -10, -10, -10, 36.667, 12.000, -10, -10, None, None, -10, -10, -10, -10, 36.944, 2.000, 100.000, 0.000, 19.556, 0.000
0.590034, 13, -10, -10, -10, -10, -10, -10, 42.889, 0.000, 69.444, 52.000, -10, -10, -10, -10, -10, -10, 43.778, 0.000, -10, -10, None, None, -10, -10, -10, -10, 25.333, 0.000, 100.000, 0.000, 19.556, 0.000
0.687039, 14, -10, -10, -10, -10, -10, -10, 47.111, 0.000, 60.667, 27.333, -10, -10, -10, -10, 36.667, 0.000, 36.667, 0.000, -10, -10, None, None, 0.000, 0.000, -10, -10, 18.222, 0.000, 100.000, 0.000, 34.000, 0.000
0.828047, 15, -10, -10, -10, -10, -10, -10, None, None, 40.556, 20.000, -10, -10, -10, -10, 26.667, 0.000, 1.389, 0.000, -10, -10, 60.000, 17.333, 0.000, 0.000, -10, -10, 6.111, 0.000, 100.000, 26.667, 40.000, 0.000
0.970055, 16, -10, -10, -10, -10, -10, -10, None, None, 34.722, 65.333, -10, -10, -10, -10, 22.593, 0.000, 1.389, 33.333, -10, -10, None, None, -10, -10, -10, -10, 0.000, 5.333, 100.000, 0.000, 32.500, 0.000
1.164066, 17, -10, -10, -10, -10, -10, -10, None, None, 29.630, 53.333, -10, -10, 43.333, 0.000, 11.481, 0.000, 0.000, 0.000, -10, -10, None, None, -10, -10, -10, -10, 0.000, 5.333, 100.000, 0.000, 0.000, 0.000
1.442082, 18, -10, -10, -10, -10, -10, -10, -10, -10, 42.778, 0.000, -10, -10, 38.333, 0.000, 11.481, 29.333, 0.000, 8.000, -10, -10, None, None, -10, -10, -10, -10, 11.111, 18.667, 100.000, 0.000, 0.000, 0.000
1.552089, 19, -10, -10, -10, -10, -10, -10, -10, -10, 42.778, 22.667, -10, -10, 43.704, 0.000, 11.481, 0.000, 0.000, 0.000, -10, -10, None, None, 25.556, 0.000, -10, -10, 21.111, 0.000, 100.000, 0.000, 0.000, 0.000
1.657095, 20, -10, -10, -10, -10, -10, -10, -10, -10, 25.926, 0.000, -10, -10, 25.185, 26.667, 2.963, 0.000, 0.000, 1.333, -10, -10, None, None, 25.556, 0.000, -10, -10, 12.963, 0.000, 100.000, 0.000, 13.704, 0.000
1.7441, 21, -10, -10, -10, -10, -10, -10, -10, -10, 25.926, 0.000, 17.778, 0.000, 18.611, 19.333, 0.000, 0.000, 0.000, 0.000, 75.556, 1.333, None, None, -10, -10, -10, -10, 12.963, 0.000, 100.000, 0.000, 13.704, 2.667
1.837105, 22, -10, -10, -10, -10, -10, -10, -10, -10, 25.926, 0.000, 46.667, 0.000, 14.444, 37.333, 0.000, 0.000, 0.000, 0.000, 86.111, 0.000, None, None, -10, -10, -10, -10, 12.963, 0.000, 100.000, 0.000, 13.704, 8.667
1.939111, 23, -10, -10, -10, -10, -10, -10, -10, -10, 25.926, 2.667, 52.593, 0.000, 14.444, 32.000, 0.000, 0.000, 0.000, 5.333, 78.889, 6.667, None, None, -10, -10, -10, -10, 12.963, 0.000, 100.000, 2.667, 13.704, 0.000
2.065118, 24, -10, -10, -10, -10, -10, -10, 93.333, 0.000, 11.667, 0.000, 61.111, 0.000, 14.444, 20.000, 0.000, 0.000, 0.000, 0.000, 65.556, 6.667, None, None, -10, -10, -10, -10, 25.556, 0.000, 100.000, 0.000, 9.444, 0.000
2.205126, 25, -10, -10, -10, -10, -10, -10, -10, -10, 16.389, 0.000, 78.611, 0.000, 3.611, 0.000, 0.000, 0.000, 0.000, 0.000, 46.667, 6.667, 18.889, 0.000, -10, -10, -10, -10, 38.333, 32.000, 100.000, 0.000, 9.444, 0.000
2.325133, 26, -10, -10, -10, -10, 0.000, 0.000, -10, -10, None, None, 78.611, 0.000, 15.833, 0.000, 0.000, 0.000, 0.000, 0.000, 28.333, 17.333, 5.556, 0.000, -10, -10, -10, -10, 38.333, 0.000, 90.000, 8.000, 1.944, 14.667
2.439139, 27, -10, -10, -10, -10, 0.000, 0.000, -10, -10, None, None, 68.056, 0.000, 15.833, 6.667, 0.000, 0.000, 0.000, 0.000, 4.444, 0.000, 15.185, 0.000, -10, -10, -10, -10, 38.333, 0.000, 82.222, 53.333, 0.000, 0.000
2.565147, 28, -10, -10, -10, -10, 0.000, 0.000, -10, -10, None, None, 61.944, 0.000, 7.778, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 15.185, 24.000, -10, -10, -10, -10, 28.333, 0.000, 82.222, 0.000, 0.000, 0.000
2.677153, 29, -10, -10, -10, -10, 1.944, 0.000, -10, -10, 0.000, 0.000, 48.611, 0.000, 23.333, 30.667, 0.000, 0.000, 0.000, 0.000, 5.556, 0.000, 21.667, 24.000, -10, -10, -10, -10, 23.333, 0.000, 82.222, 48.000, 0.000, 0.000
2.79616, 30, -10, -10, -10, -10, 13.889, 0.000, -10, -10, None, None, 48.611, 0.000, 17.500, 22.667, 0.000, 0.000, 0.000, 14.667, 14.444, 0.000, 29.444, 1.333, -10, -10, -10, -10, 18.611, 20.000, 74.444, 0.000, 0.000, 0.000
2.901166, 31, -10, -10, -10, -10, 30.000, 0.000, 40.000, 0.000, None, None, 60.833, 8.000, 9.167, 0.000, 0.000, 0.000, 6.111, 0.000, 31.389, 0.000, 33.889, 9.333, -10, -10, -10, -10, 27.500, 8.000, 74.444, 30.667, None, None
3.015172, 32, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, 0.000, 20.000, -10, -10, 48.611, 0.000, -10, -10, -10, -10, -10, -10, 27.500, 44.000, -10, -10, -10, -10
3.112178, 33, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, 0.000, 0.000, -10, -10, 48.611, 0.000, -10, -10, -10, -10, -10, -10, 34.167, 15.333, -10, -10, -10, -10
3.182182, 34, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, 0.000, 0.000, -10, -10, 48.611, 0.000, -10, -10, -10, -10, -10, -10, 38.667, 0.000, -10, -10, -10, -10
3.256186, 35, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, 0.000, 0.000, -10, -10, 40.222, 0.000, -10, -10, -10, -10, -10, -10, 38.667, 0.000, -10, -10, -10, -10
3.337191, 36, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, 35.111, 0.000, -10, -10, -10, -10, -10, -10, 32.000, 0.000, -10, -10, -10, -10
3.418195, 37, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, 35.111, 0.000, -10, -10, -10, -10, -10, -10, 32.000, 0.000, -10, -10, -10, -10
3.516201, 38, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, 30.444, 0.000, -10, -10, -10, -10, -10, -10, 21.778, 0.000, -10, -10, -10, -10
3.585205, 39, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, 17.111, 0.000, -10, -10, -10, -10, -10, -10, 15.556, 0.000, -10, -10, -10, -10
3.664209, 40, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, 17.111, 0.000, -10, -10, -10, -10, -10, -10, 11.556, 0.000, -10, -10, -10, -10
3.737214, 41, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, 24.222, 0.000, -10, -10, -10, -10, -10, -10, 11.556, 0.000, -10, -10, -10, -10
3.821218, 42, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, None, None, -10, -10, -10, -10, -10, -10, 11.556, 0.000, -10, -10, -10, -10
3.910223, 43, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, None, None, -10, -10, -10, -10, -10, -10, 15.556, 0.000, -10, -10, -10, -10
3.987228, 44, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, None, None, -10, -10, -10, -10, -10, -10, 15.556, 0.000, -10, -10, -10, -10
4.052232, 45, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, None, None, -10, -10, -10, -10, -10, -10, None, None, -10, -10, -10, -10
4.091234, 46, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, None, None, -10, -10, -10, -10, -10, -10, None, None, -10, -10, -10, -10
4.131236, 47, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, None, None, -10, -10, -10, -10, -10, -10, None, None, -10, -10, -10, -10
4.221241, 48, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, None, None, -10, -10, -10, -10, -10, -10, None, None, -10, -10, -10, -10
4.345248, 49, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, None, None, -10, -10, -10, -10, -10, -10, None, None, -10, -10, -10, -10
4.419253, 50, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, -10, None, None, -10, -10, None, None, -10, -10, -10, -10, -10, -10, None, None, -10, -10, -10, -10
4.55326, 51, -10, -10, -10, -10, -10, -10, 3.333, 0.000, 14.444, 0.000, -10, -10, -10, -10, None, None, 0.000, 0.000, 16.667, 0.000, 0.000, 0.000, 38.889, 0.000, -10, -10, None, None, 51.111, 21.333, -10, -10
4.699269, 52, -10, -10, 78.889, 58.667, 43.333, 0.000, 26.111, 0.000, 20.000, 0.000, 100.000, 0.000, 0.000, 0.000, None, None, 0.000, 20.000, 44.444, 0.000, 0.000, 0.000, 38.889, 0.000, -10, -10, 24.444, 0.000, 68.889, 37.333, -10, -10
4.841277, 53, -10, -10, 72.778, 0.000, 57.778, 0.000, 26.111, 0.000, 20.000, 0.000, 100.000, 0.000, 0.000, 0.000, None, None, 0.000, 12.000, 54.444, 0.000, 0.000, 0.000, 38.889, 54.667, -10, -10, 11.667, 5.333, 74.444, 26.667, -10, -10
4.993285, 54, -10, -10, 72.778, 0.000, 61.852, 12.000, 26.111, 0.000, 14.444, 0.000, 100.000, 0.000, 0.000, 17.333, None, None, 0.000, 12.000, 71.481, 0.000, 8.519, 0.000, 50.370, 5.333, -10, -10, 11.667, 12.000, 100.000, 0.000, -10, -10
5.116292, 55, -10, -10, 92.593, 69.333, 74.074, 0.000, 26.111, 0.000, 6.667, 0.000, 96.296, 0.000, 0.000, 33.333, None, None, 0.000, 30.667, 71.481, 0.000, 8.519, 0.000, 66.667, 0.000, -10, -10, 2.222, 0.000, 100.000, 25.333, -10, -10
5.2563, 56, -10, -10, 100.000, 76.000, 74.074, 0.000, 26.111, 0.000, 6.667, 0.000, 96.296, 0.000, 6.667, 0.000, 0.000, 0.000, 0.000, 36.000, 71.481, 0.000, 8.519, 0.000, 66.667, 88.000, 0.000, 0.000, 2.222, 0.000, 100.000, 0.000, -10, -10
5.369307, 57, -10, -10, 97.500, 100.000, 74.074, 6.667, 26.111, 0.000, 6.667, 0.000, 89.444, 0.000, 11.111, 5.333, 0.000, 0.000, 0.000, 0.000, 62.222, 0.000, 0.000, 0.000, 57.500, 0.000, 0.000, 0.000, 2.222, 0.000, 100.000, 0.000, -10, -10
5.491314, 58, -10, -10, 97.500, 0.000, 74.074, 0.000, 35.278, 0.000, 13.333, 0.000, 84.167, 62.667, 11.111, 0.000, 0.000, 0.000, 0.000, 20.000, 62.222, 0.000, None, None, 57.500, 48.000, 0.000, 0.000, 0.000, 0.000, 95.278, 0.000, -10, -10
5.60632, 59, -10, -10, -10, -10, 74.074, 0.000, 26.944, 13.333, 22.222, 0.000, 91.667, 28.000, 11.111, 5.333, 0.000, 49.333, 0.000, 20.000, 51.111, 0.000, None, None, 51.389, 33.333, 0.000, 0.000, 1.667, 0.000, 95.278, 0.000, -10, -10
5.720327, 60, -10, -10, -10, -10, 74.074, 0.000, 26.944, 0.000, 28.056, 0.000, 91.667, 0.000, 11.111, 40.000, 0.000, 30.667, 0.000, 0.000, 51.111, 0.000, None, None, 51.389, 0.000, 4.167, 0.000, 1.667, 24.000, 95.278, 17.333, -10, -10
5.882336, 61, -10, -10, -10, -10, 74.074, 0.000, 32.500, 5.333, 38.333, 0.000, 95.833, 0.000, 11.111, 0.000, 0.000, 0.000, 0.000, 0.000, 59.444, 0.000, None, None, 51.389, 0.000, 11.389, 0.000, 0.000, 0.000, 100.000, 61.333, -10, -10
6.000343, 62, -10, -10, -10, -10, 74.074, 13.333, 32.500, 49.333, 47.500, 0.000, 88.889, 0.000, 11.111, 26.667, 0.000, 0.000, 3.333, 0.000, 59.444, 0.000, None, None, 59.444, 6.667, 6.389, 0.000, 0.000, 0.000, 100.000, 14.667, -10, -10
6.166353, 63, -10, -10, -10, -10, 82.222, 6.667, 38.889, 0.000, 55.556, 0.000, 72.963, 0.000, 4.815, 37.333, 0.000, 0.000, 13.333, 0.000, 59.444, 0.000, None, None, 59.444, 0.000, 0.000, 0.000, 2.593, 0.000, 100.000, 20.000, -10, -10
6.319361, 64, -10, -10, -10, -10, 82.222, 0.000, 38.889, 16.000, 55.556, 0.000, 72.963, 0.000, 12.963, 37.333, 0.000, 0.000, 13.333, 24.000, 59.444, 0.000, None, None, 64.444, 61.333, 0.000, 0.000, 18.889, 0.000, 100.000, 0.000, -10, -10
