Time,Performer/Moved,Performer/Rotated,Performer/isLookingAtPerformer,Performer/isLookingAtAudience,Performer/isBeingLookedAtByPerformer,Performer/isBeingLookedAtByAudienceMember,Performer/isLookingAtVPScreen,Audience 01/Moved,Audience 01/Rotated,Audience 01/isLookingAtPerformer,Audience 01/isLookingAtAudience,Audience 01/isBeingLookedAtByPerformer,Audience 01/isBeingLookedAtByAudienceMember,Audience 01/isLookingAtVPScreen,Audience 02/Moved,Audience 02/Rotated,Audience 02/isLookingAtPerformer,Audience 02/isLookingAtAudience,Audience 02/isBeingLookedAtByPerformer,Audience 02/isBeingLookedAtByAudienceMember,Audience 02/isLookingAtVPScreen,Audience 03/Moved,Audience 03/Rotated,Audience 03/isLookingAtPerformer,Audience 03/isLookingAtAudience,Audience 03/isBeingLookedAtByPerformer,Audience 03/isBeingLookedAtByAudienceMember,Audience 03/isLookingAtVPScreen,Audience 06/Moved,Audience 06/Rotated,Audience 06/isLookingAtPerformer,Audience 06/isLookingAtAudience,Audience 06/isBeingLookedAtByPerformer,Audience 06/isBeingLookedAtByAudienceMember,Audience 06/isLookingAtVPScreen,Audience 07/Moved,Audience 07/Rotated,Audience 07/isLookingAtPerformer,Audience 07/isLookingAtAudience,Audience 07/isBeingLookedAtByPerformer,Audience 07/isBeingLookedAtByAudienceMember,Audience 07/isLookingAtVPScreen,Audience 08/Moved,Audience 08/Rotated,Audience 08/isLookingAtPerformer,Audience 08/isLookingAtAudience,Audience 08/isBeingLookedAtByPerformer,Audience 08/isBeingLookedAtByAudienceMember,Audience 08/isLookingAtVPScreen,Audience 09/Moved,Audience 09/Rotated,Audience 09/isLookingAtPerformer,Audience 09/isLookingAtAudience,Audience 09/isBeingLookedAtByPerformer,Audience 09/isBeingLookedAtByAudienceMember,Audience 09/isLookingAtVPScreen,Audience 10/Moved,Audience 10/Rotated,Audience 10/isLookingAtPerformer,Audience 10/isLookingAtAudience,Audience 10/isBeingLookedAtByPerformer,Audience 10/isBeingLookedAtByAudienceMember,Audience 10/isLookingAtVPScreen,Audience 11/Moved,Audience 11/Rotated,Audience 11/isLookingAtPerformer,Audience 11/isLookingAtAudience,Audience 11/isBeingLookedAtByPerformer,Audience 11/isBeingLookedAtByAudienceMember,Audience 11/isLookingAtVPScreen
463.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
463.8,0,0,0,0,0,0,0,0.30143,0.029784,0,0,0,0,0,2.1463,0.037639,0,0,0,1,1,3.5646,0.012791,0,0,0,1,1,5.5637,0.014831,0,1,0,1,0,4.4733,0.018222,0,1,0,1,1,5.1792,0.047163,0,1,0,1,0,7.9537,0.070879,0,1,0,0,0,2.3793,0.053934,0,1,0,1,0,12.521,0.093234,0,1,0,0,0
463.9,0,0,0,0,0,0,0,4.6217,0.043085,0,0,0,0,0,1.3955,0.02586,0,0,0,1,1,4.7101,0.010899,0,0,0,1,1,8.3746,0.025719,0,1,0,1,0,6.4863,0.034683,0,1,0,1,1,2.1338,0.016615,0,1,0,1,0,2.7218,0.056359,0,1,0,0,0,0.86337,0.01173,0,1,0,1,0,14.15,0.12781,0,1,0,0,0
464,0,0,0,0,0,0,0,6.3932,0.03129,0,0,0,0,0,1.9737,0.021014,0,0,0,1,1,3.4678,0.021791,0,0,0,1,1,7.3573,0.015887,0,1,0,1,0,9.6367,0.043175,0,1,0,1,1,3.0507,0.010308,0,1,0,0,0,4.7119,0.038966,0,1,0,0,0,2.2805,0.028348,0,1,0,1,0,10.594,0.095299,0,1,0,0,0
464.1,0,0,0,0,0,0,0,4.7052,0.0054397,0,0,0,0,0,2.259,0.022189,0,0,0,1,1,3.0357,0.013555,0,0,0,1,1,14.259,0.053673,0,1,0,1,0,5.178,0.020496,0,1,0,1,1,2.0056,0.0094368,0,1,0,0,0,5.2038,0.53236,0,1,0,0,0,0.86348,0.017625,0,1,0,1,0,3.755,0.083248,0,1,0,0,0
464.2,0,0,0,0,0,0,0,4.7576,0.013171,0,0,0,0,0,1.6158,0.012261,0,0,0,1,1,2.1123,0.0022142,0,0,0,1,1,9.5284,0.045523,0,1,0,1,0,8.5263,0.013441,0,1,0,1,1,1.657,0.007607,0,1,0,0,0,8.105,0.49464,0,1,0,0,0,0.83562,0.013192,0,1,0,0,0,10.154,0.071901,0,1,0,0,0
464.3,0,0,0,0,0,0,0,2.0118,0.019025,0,0,0,0,0,6.7339,0.019479,0,0,0,1,1,1.0668,0.0049547,0,0,0,1,1,5.1551,0.016813,0,1,0,1,0,10.678,0.033398,0,1,0,1,1,1.9737,0.015586,0,1,0,0,0,1.6006,0.0051969,0,1,0,0,0,3.0239,0.024568,0,1,0,0,0,14.538,0.032259,0,1,0,0,0
464.4,0,0,0,0,0,0,0,2.1027,0.006713,0,0,0,0,0,8.8732,0.032988,0,0,0,1,1,4.2325,0.016347,0,0,0,1,1,6.1351,0.035782,0,1,0,1,0,7.0444,0.042397,0,1,0,1,1,2.1164,0.0056493,0,1,0,0,0,2.8559,0.026119,0,1,0,0,0,2.4969,0.022797,0,1,0,0,0,11.936,0.0148,0,1,0,0,0
464.5,0,0,0,0,0,0,0,2.9979,0.01884,0,0,0,0,0,4.3015,0.019522,0,0,0,1,1,5.0259,0.018675,0,0,0,1,1,4.8169,0.01054,0,1,0,1,0,6.4147,0.014612,0,1,0,1,1,1.5475,0.0023553,0,1,0,0,0,5.1487,0.0479,0,1,0,0,0,4.3515,0.061938,0,1,0,0,0,8.3833,0.0079029,0,1,0,0,0
464.6,0,0,0,0,0,0,0,2.4986,0.011701,0,0,0,0,0,2.9889,0.0071113,0,0,0,1,1,5.6434,0.02743,0,0,0,1,1,3.7894,0.023707,0,1,0,1,0,6.9152,0.04806,0,1,0,1,1,1.2482,0.007893,0,1,0,0,0,6.8081,0.023806,0,1,0,0,0,7.8666,0.080621,0,1,0,0,0,5.993,0.023703,0,1,0,0,0
