Time,Performer/Movement,Performer/isLookingAtPerformer,Performer/isLookingAtAudience,Performer/isBeingLookedAtByPerformer,Performer/isBeingLookedAtByAudienceMember,Performer/isLookingAtVPScreen,Audience 01/Movement,Audience 01/isLookingAtPerformer,Audience 01/isLookingAtAudience,Audience 01/isBeingLookedAtByPerformer,Audience 01/isBeingLookedAtByAudienceMember,Audience 01/isLookingAtVPScreen,Audience 02/Movement,Audience 02/isLookingAtPerformer,Audience 02/isLookingAtAudience,Audience 02/isBeingLookedAtByPerformer,Audience 02/isBeingLookedAtByAudienceMember,Audience 02/isLookingAtVPScreen,Audience 03/Movement,Audience 03/isLookingAtPerformer,Audience 03/isLookingAtAudience,Audience 03/isBeingLookedAtByPerformer,Audience 03/isBeingLookedAtByAudienceMember,Audience 03/isLookingAtVPScreen,Audience 05/Movement,Audience 05/isLookingAtPerformer,Audience 05/isLookingAtAudience,Audience 05/isBeingLookedAtByPerformer,Audience 05/isBeingLookedAtByAudienceMember,Audience 05/isLookingAtVPScreen,Audience 06/Movement,Audience 06/isLookingAtPerformer,Audience 06/isLookingAtAudience,Audience 06/isBeingLookedAtByPerformer,Audience 06/isBeingLookedAtByAudienceMember,Audience 06/isLookingAtVPScreen,Audience 07/Movement,Audience 07/isLookingAtPerformer,Audience 07/isLookingAtAudience,Audience 07/isBeingLookedAtByPerformer,Audience 07/isBeingLookedAtByAudienceMember,Audience 07/isLookingAtVPScreen,Audience 08/Movement,Audience 08/isLookingAtPerformer,Audience 08/isLookingAtAudience,Audience 08/isBeingLookedAtByPerformer,Audience 08/isBeingLookedAtByAudienceMember,Audience 08/isLookingAtVPScreen,Audience 09/Movement,Audience 09/isLookingAtPerformer,Audience 09/isLookingAtAudience,Audience 09/isBeingLookedAtByPerformer,Audience 09/isBeingLookedAtByAudienceMember,Audience 09/isLookingAtVPScreen,Audience 10/Movement,Audience 10/isLookingAtPerformer,Audience 10/isLookingAtAudience,Audience 10/isBeingLookedAtByPerformer,Audience 10/isBeingLookedAtByAudienceMember,Audience 10/isLookingAtVPScreen,Audience 11/Movement,Audience 11/isLookingAtPerformer,Audience 11/isLookingAtAudience,Audience 11/isBeingLookedAtByPerformer,Audience 11/isBeingLookedAtByAudienceMember,Audience 11/isLookingAtVPScreen
249.7,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
249.8,0,0,0,0,1,0,0.052902,0,0,0,1,1,0.078085,0,0,0,1,0,0.11365,0,0,0,1,1,0.79865,0,1,0,0,1,0.23577,0,1,0,1,0,0.054271,1,1,0,1,1,0.028636,0,1,0,0,0,0.32178,0,1,0,0,0,0.067935,0,1,0,1,0,0.097654,0,1,0,0,0
249.9,0,0,0,0,1,0,0.077992,0,0,0,1,1,0.094058,0,0,0,1,0,0.036786,0,0,0,1,1,0.18429,0,1,0,0,1,0.15127,0,1,0,1,0,0.13091,1,1,0,1,1,0.092739,0,1,0,0,0,0.13188,0,1,0,0,0,0.039849,0,1,0,1,0,0.34411,0,1,0,0,0
250,0,0,0,0,1,0,0.059154,0,0,0,1,1,0.23983,0,0,0,1,0,0.067653,0,0,0,1,1,0.73832,0,1,0,0,1,0.070659,0,1,0,1,0,0.08262,1,1,0,1,1,0.13554,0,1,0,0,0,0.2004,0,1,0,0,0,0.044377,0,1,0,1,0,0.17475,0,1,0,0,0
250.1,0,0,0,0,1,0,0.046065,0,0,0,1,1,0.25092,0,0,0,1,0,0.10069,0,0,0,1,1,0.61158,0,1,0,0,1,0.026264,0,1,0,1,0,0.094887,1,1,0,1,1,0.092513,0,1,0,0,0,0.21125,0,1,0,0,0,0.037669,0,1,0,1,0,0.10992,0,1,0,0,0
250.2,0,0,0,0,1,0,0.061662,0,0,0,1,1,0.27379,0,0,0,1,1,0.22609,0,0,0,1,1,0.54759,0,1,0,0,1,0.074844,0,1,0,1,0,0.067915,1,1,0,1,1,0.05798,0,1,0,0,0,0.19993,0,1,0,0,0,0.027986,0,1,0,1,0,0.026309,0,1,0,0,0
250.3,0,0,0,0,1,0,0.076796,0,0,0,1,1,2.0786,0,0,0,1,1,0.51331,0,0,0,1,1,1.0966,0,1,0,0,1,0.067913,0,1,0,1,0,0.035274,1,1,0,1,1,0.10269,0,1,0,0,0,0.071048,0,1,0,0,0,0.047994,0,1,0,1,0,0.080392,0,1,0,0,0
250.4,0,0,0,0,1,0,0.038784,0,0,0,1,1,4.2333,0,0,0,1,1,0.2145,0,0,0,1,1,1.081,0,1,0,0,1,0.35086,0,1,0,1,0,0.078517,1,1,0,1,1,0.069344,0,1,0,0,0,0.10309,0,1,0,0,0,0.11923,0,1,0,1,0,0.052875,0,1,0,0,0
250.5,0,0,0,0,1,0,0.087616,0,0,0,1,1,0.20199,0,0,0,1,1,0.18704,0,0,0,1,1,0.49915,0,1,0,0,1,0.25165,0,1,0,1,0,0.070736,1,1,0,1,1,0.083095,0,1,0,0,0,0.14531,0,1,0,0,0,0.12576,0,1,0,1,0,0.044478,0,1,0,0,0
250.6,0,0,0,0,1,0,0.14952,0,0,0,1,1,0.72572,0,0,0,1,1,0.054291,0,0,0,1,1,0.53694,0,1,0,0,1,0.089551,0,1,0,1,0,0.045208,1,1,0,1,1,0.038414,0,1,0,0,0,0.13597,0,1,0,0,0,0.19267,0,1,0,1,0,0.044604,0,1,0,0,0
250.7,0,0,0,0,1,0,0.093588,0,0,0,1,1,0.19599,0,0,0,1,1,0.097952,0,0,0,1,1,0.68522,0,1,0,0,1,0.3232,0,1,0,1,0,0.049832,1,1,0,1,1,0.047746,0,1,0,0,0,0.051234,0,1,0,0,0,0.14882,0,1,0,1,0,0.068244,0,1,0,0,0
250.8,0,0,0,0,1,0,0.13814,0,0,0,1,1,0.57701,0,0,0,1,1,0.13929,0,0,0,1,1,0.76977,0,1,0,0,1,0.37519,0,1,0,1,0,0.017406,1,1,0,1,1,0.07502,0,1,0,0,0,0.038846,0,1,0,0,0,0.12197,0,1,0,1,0,0.029667,0,1,0,0,0
250.9,0,0,0,0,1,0,0.046344,0,0,0,1,1,1.4605,0,0,0,1,1,0.032907,0,0,0,1,1,0.56798,0,1,0,0,1,0.066537,0,1,0,1,0,0.014927,1,1,0,1,1,0.027818,0,1,0,0,0,0.10322,0,1,0,0,0,0.10704,0,1,0,1,0,0.032549,0,1,0,0,0
251,0,0,0,0,1,0,0.060974,0,0,0,1,1,1.993,0,0,0,1,0,0.014177,0,0,0,1,1,0.46041,0,1,0,0,1,0.18012,0,1,0,1,0,0.047793,1,1,0,1,1,0.033805,0,1,0,0,0,0.10475,0,1,0,0,0,0.30821,0,1,0,1,0,0.042584,0,1,0,0,0
251.1,0,0,0,0,1,0,6.7984,0,0,0,1,1,1.1474,0,0,0,1,0,0.054472,0,0,0,1,1,0.51139,0,1,0,0,1,0.15955,0,1,0,1,0,0.015489,1,1,0,1,1,0.046821,0,1,0,0,0,0.065897,0,1,0,0,0,0.2693,0,1,0,1,0,0.057342,0,1,0,0,0
251.2,0,0,0,0,1,0,0.1181,0,0,0,1,1,1.046,0,0,0,1,0,0.07286,0,0,0,1,1,0.2989,0,1,0,0,1,0.037971,0,1,0,1,0,0.033236,1,1,0,1,1,0.032038,0,1,0,0,0,0.049892,0,1,0,0,0,0.31069,0,1,0,1,1,0.19342,0,1,0,0,0
251.3,0,0,0,0,1,0,0.08734,0,0,0,1,1,1.1015,0,0,0,1,0,0.051194,0,0,0,1,1,0.32423,0,1,0,0,1,0.38694,0,1,0,1,0,0.03739,1,1,0,1,1,0.039152,0,1,0,0,0,0.084522,0,1,0,0,0,0.3019,0,1,0,1,0,0.070389,0,1,0,0,0
251.4,0,0,0,0,1,0,0.036484,0,0,0,1,1,0.62053,0,0,0,1,0,0.076283,0,0,0,1,1,0.22011,0,1,0,0,1,0.18146,0,1,0,1,0,0.07778,1,1,0,1,1,0.037414,0,1,0,0,0,0.044121,0,1,0,0,0,0.12942,0,1,0,1,0,0.04007,0,1,0,0,0
251.5,0,0,0,0,1,0,0.044298,0,0,0,1,1,0.32769,0,0,0,1,0,0.11229,0,0,0,1,1,0.18521,0,1,0,0,1,0.30076,0,1,0,1,0,0.045765,1,1,0,1,1,0.084218,0,1,0,0,0,0.11248,0,1,0,0,0,0.078118,0,1,0,1,0,0.024433,0,1,0,0,0
