Time,Audience 01/Moved,Audience 01/Rotated,Audience 01/isLookingAtPerformer,Audience 01/isLookingAtAudience,Audience 01/isBeingLookedAtByPerformer,Audience 01/isBeingLookedAtByAudienceMember,Audience 01/isLookingAtVPScreen,Audience 02/Moved,Audience 02/Rotated,Audience 02/isLookingAtPerformer,Audience 02/isLookingAtAudience,Audience 02/isBeingLookedAtByPerformer,Audience 02/isBeingLookedAtByAudienceMember,Audience 02/isLookingAtVPScreen,Audience 03/Moved,Audience 03/Rotated,Audience 03/isLookingAtPerformer,Audience 03/isLookingAtAudience,Audience 03/isBeingLookedAtByPerformer,Audience 03/isBeingLookedAtByAudienceMember,Audience 03/isLookingAtVPScreen,Audience 05/Moved,Audience 05/Rotated,Audience 05/isLookingAtPerformer,Audience 05/isLookingAtAudience,Audience 05/isBeingLookedAtByPerformer,Audience 05/isBeingLookedAtByAudienceMember,Audience 05/isLookingAtVPScreen,Audience 06/Moved,Audience 06/Rotated,Audience 06/isLookingAtPerformer,Audience 06/isLookingAtAudience,Audience 06/isBeingLookedAtByPerformer,Audience 06/isBeingLookedAtByAudienceMember,Audience 06/isLookingAtVPScreen,Audience 07/Moved,Audience 07/Rotated,Audience 07/isLookingAtPerformer,Audience 07/isLookingAtAudience,Audience 07/isBeingLookedAtByPerformer,Audience 07/isBeingLookedAtByAudienceMember,Audience 07/isLookingAtVPScreen,Audience 08/Moved,Audience 08/Rotated,Audience 08/isLookingAtPerformer,Audience 08/isLookingAtAudience,Audience 08/isBeingLookedAtByPerformer,Audience 08/isBeingLookedAtByAudienceMember,Audience 08/isLookingAtVPScreen,Audience 09/Moved,Audience 09/Rotated,Audience 09/isLookingAtPerformer,Audience 09/isLookingAtAudience,Audience 09/isBeingLookedAtByPerformer,Audience 09/isBeingLookedAtByAudienceMember,Audience 09/isLookingAtVPScreen,Audience 10/Moved,Audience 10/Rotated,Audience 10/isLookingAtPerformer,Audience 10/isLookingAtAudience,Audience 10/isBeingLookedAtByPerformer,Audience 10/isBeingLookedAtByAudienceMember,Audience 10/isLookingAtVPScreen,Audience 11/Moved,Audience 11/Rotated,Audience 11/isLookingAtPerformer,Audience 11/isLookingAtAudience,Audience 11/isBeingLookedAtByPerformer,Audience 11/isBeingLookedAtByAudienceMember,Audience 11/isLookingAtVPScreen
249.7,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
249.8,0.39068,0.0017395,0,0,0,1,1,0.17748,0.0039058,0,0,0,1,0,0.97497,0.0032821,0,0,0,1,1,3.7313,0.033527,0,1,0,0,1,1.6607,0.0080226,0,1,0,1,0,0.25581,0.0022706,0,1,0,1,1,0.10766,0.0012896,0,1,0,0,0,0.51828,0.01681,0,1,0,0,0,0.684,0.0016227,0,1,0,1,0,0.8735,0.0027004,0,1,0,0,0
249.9,0.27379,0.0035775,0,0,0,1,1,0.87081,0.0025021,0,0,0,1,0,0.33406,0.0010004,0,0,0,1,1,2.2705,0.0030109,0,1,0,0,1,1.2079,0.0046695,0,1,0,1,0,0.73531,0.0050807,0,1,0,1,1,0.85587,0.0024762,0,1,0,0,0,0.76698,0.0050303,0,1,0,0,0,0.2714,0.001387,0,1,0,1,0,3.1166,0.0093862,0,1,0,0,0
250,0.45501,0.0018842,0,0,0,1,1,1.5203,0.0087268,0,0,0,1,0,0.54,0.0020892,0,0,0,1,1,3.7868,0.029862,0,1,0,0,1,0.55801,0.0022021,0,1,0,1,0,0.78819,0.0021198,0,1,0,1,1,0.85768,0.0049373,0,1,0,0,0,1.0284,0.0081031,0,1,0,0,0,0.36004,0.0013509,0,1,0,1,0,1.6865,0.0044189,0,1,0,0,0
250.1,0.36684,0.0014254,0,0,0,1,1,1.271,0.010202,0,0,0,1,0,0.69483,0.0034745,0,0,0,1,1,1.8135,0.029173,0,1,0,0,1,0.16956,0.00094542,0,1,0,1,0,0.92872,0.0023557,0,1,0,1,1,0.69661,0.0029971,0,1,0,0,0,1.242,0.0080128,0,1,0,0,0,0.28689,0.0012095,0,1,0,1,0,0.87834,0.0033911,0,1,0,0,0
250.2,0.26216,0.0026753,0,0,0,1,1,0.8569,0.012909,0,0,0,1,1,1.1157,0.0092913,0,0,0,1,1,5.6212,0.012718,0,1,0,0,1,0.60416,0.0022886,0,1,0,1,0,0.72632,0.0014797,0,1,0,1,1,0.71046,0.00096018,0,1,0,0,0,1.0001,0.008171,0,1,0,0,0,0.29034,0.00063974,0,1,0,1,0,0.22601,0.0007588,0,1,0,0,0
250.3,0.4331,0.0029745,0,0,0,1,1,9.7296,0.087217,0,0,0,1,1,3.2377,0.018733,0,0,0,1,1,9.6184,0.030965,0,1,0,0,1,0.51912,0.0021742,0,1,0,1,0,0.24425,0.0012144,0,1,0,1,1,0.80775,0.0032112,0,1,0,0,0,0.69627,0.0017609,0,1,0,0,0,0.30505,0.0017437,0,1,0,1,0,0.93563,0.0014971,0,1,0,0,0
250.4,0.21333,0.0015203,0,0,0,1,1,23.268,0.16619,0,0,0,1,1,2.0047,0.0056433,0,0,0,1,1,9.1389,0.031672,0,1,0,0,1,1.2379,0.016073,0,1,0,1,0,0.47463,0.0029345,0,1,0,1,1,0.53345,0.0022086,0,1,0,0,0,0.94783,0.0027645,0,1,0,0,0,0.82634,0.0041023,0,1,0,1,0,0.64791,0.00087563,0,1,0,0,0
250.5,0.36589,0.0038235,0,0,0,1,1,0.77487,0.0090448,0,0,0,1,1,1.5061,0.0057321,0,0,0,1,1,5.5205,0.010264,0,1,0,0,1,1.357,0.0099559,0,1,0,1,0,0.19526,0.0034226,0,1,0,1,1,0.4912,0.0031429,0,1,0,0,0,0.98351,0.0050785,0,1,0,0,0,1.6533,0.0017063,0,1,0,1,0,0.44793,0.0010621,0,1,0,0,0
250.6,0.76436,0.006056,0,0,0,1,1,4.4808,0.026809,0,0,0,1,1,0.32476,0.0020406,0,0,0,1,1,4.9746,0.014272,0,1,0,0,1,0.92632,0.0020563,0,1,0,1,0,0.32636,0.0015117,0,1,0,1,1,0.25045,0.0013745,0,1,0,0,0,0.30278,0.0068221,0,1,0,0,0,0.85362,0.0082436,0,1,0,1,0,0.63817,0.00043152,0,1,0,0,0
250.7,0.76459,0.0028311,0,0,0,1,1,1.5555,0.006082,0,0,0,1,1,0.88082,0.002693,0,0,0,1,1,6.4096,0.018008,0,1,0,0,1,0.48839,0.016992,0,1,0,1,0,0.34238,0.0017245,0,1,0,1,1,0.41634,0.0013563,0,1,0,0,0,0.3718,0.0017067,0,1,0,0,0,2.0854,0.0015869,0,1,0,1,0,0.62279,0.0018457,0,1,0,0,0
250.8,0.60604,0.0059305,0,0,0,1,1,2.7181,0.024147,0,0,0,1,1,0.91808,0.0049508,0,0,0,1,1,6.872,0.021332,0,1,0,0,1,1.6792,0.015997,0,1,0,1,0,0.19425,0.00035206,0,1,0,1,1,0.44423,0.0028349,0,1,0,0,0,0.21487,0.0015187,0,1,0,0,0,1.8071,0.00097201,0,1,0,1,0,0.32008,0.00063698,0,1,0,0,0
250.9,0.47522,0.0010781,0,0,0,1,1,7.4432,0.05924,0,0,0,1,1,0.25078,0.001056,0,0,0,1,1,5.5651,0.014081,0,1,0,0,1,0.35285,0.0026522,0,1,0,1,0,0.11204,0.00048481,0,1,0,1,1,0.31711,0.00054034,0,1,0,0,0,0.44607,0.0044539,0,1,0,0,0,1.0254,0.0027323,0,1,0,1,0,0.30169,0.00086472,0,1,0,0,0
251,0.61336,0.0014582,0,0,0,1,1,10.819,0.078625,0,0,0,1,0,0.14033,0.00034673,0,0,0,1,1,3.9456,0.013311,0,1,0,0,1,1.1327,0.0065848,0,1,0,1,0,0.29687,0.0017596,0,1,0,1,1,0.10268,0.0016043,0,1,0,0,0,0.8601,0.0031542,0,1,0,0,0,2.1188,0.010662,0,1,0,1,0,0.36696,0.0012243,0,1,0,0,0
251.1,0.90052,0.39133,0,0,0,1,1,7.6414,0.040521,0,0,0,1,0,0.58653,0.0011734,0,0,0,1,1,4.3585,0.014865,0,1,0,0,1,1.154,0.005328,0,1,0,1,0,0.12999,0.00045703,0,1,0,1,1,0.22831,0.0019334,0,1,0,0,0,0.76141,0.0012457,0,1,0,0,0,0.91983,0.012439,0,1,0,1,0,0.63116,0.0011893,0,1,0,0,0
251.2,0.38252,0.0055246,0,0,0,1,1,7.6897,0.034511,0,0,0,1,0,0.70172,0.0018472,0,0,0,1,1,2.9857,0.0072191,0,1,0,0,1,0.47316,0.00060241,0,1,0,1,0,0.12424,0.0014992,0,1,0,1,1,0.23197,0.001069,0,1,0,0,0,0.30203,0.0018633,0,1,0,0,0,3.2372,0.0070554,0,1,0,1,1,1.3469,0.0066332,0,1,0,0,0
251.3,0.62074,0.0029532,0,0,0,1,1,7.6937,0.0377,0,0,0,1,0,0.51746,0.0012161,0,0,0,1,1,2.646,0.0098179,0,1,0,0,1,1.2837,0.018,0,1,0,1,0,0.20552,0.0014662,0,1,0,1,1,0.41667,0.00085987,0,1,0,0,0,0.2651,0.0039831,0,1,0,0,0,2.9583,0.0074841,0,1,0,1,0,0.39812,0.0027225,0,1,0,0,0
251.4,0.28387,0.0011513,0,0,0,1,1,4.6261,0.020259,0,0,0,1,0,0.57847,0.0024576,0,0,0,1,1,1.8632,0.0064405,0,1,0,0,1,0.84783,0.0076168,0,1,0,1,0,0.39488,0.0031594,0,1,0,1,1,0.29279,0.001175,0,1,0,0,0,0.43313,0.0010911,0,1,0,0,0,0.3347,0.0063376,0,1,0,1,0,0.27195,0.0013979,0,1,0,0,0
251.5,0.14815,0.0020567,0,0,0,1,1,2.5764,0.01025,0,0,0,1,0,0.8853,0.0035047,0,0,0,1,1,0.30388,0.0096565,0,1,0,0,1,1.5725,0.012064,0,1,0,1,0,0.29073,0.0016633,0,1,0,1,1,0.6293,0.0027446,0,1,0,0,0,0.52972,0.0047075,0,1,0,0,0,0.23703,0.003708,0,1,0,1,0,0.089917,0.0011069,0,1,0,0,0
251.6,0.17526,0.00051372,0,0,0,1,1,0.88008,0.0048119,0,0,0,1,0,0.44392,0.0025933,0,0,0,1,1,0.25413,0.0096214,0,1,0,0,1,0.57511,0.0024682,0,1,0,1,0,0.25653,0.0012732,0,1,0,1,1,0.62651,0.00292,0,1,0,0,0,0.56425,0.005172,0,1,0,0,0,0.73512,0.0030802,0,1,0,1,0,0.13996,0.0025274,0,1,0,0,0
251.7,0.54395,0.0019221,0,0,0,1,1,0.17776,0.0022118,0,0,0,1,0,0.59539,0.0029994,0,0,0,1,1,0.27389,0.004827,0,1,0,0,1,1.1883,0.010115,0,1,0,1,0,0.13416,0.00022382,0,1,0,1,1,0.12594,0.0009559,0,1,0,0,0,0.51677,0.001328,0,1,0,0,0,0.21318,0.0021396,0,1,0,0,0,0.74258,0.0022676,0,1,0,0,0
251.8,0.11101,0.0012067,0,0,0,1,1,0.20035,0.0023232,0,0,0,1,0,0.58273,0.00221,0,0,0,1,1,0.70839,0.0021311,0,1,0,0,1,0.6535,0.0014748,0,1,0,1,0,0.10184,0.0016619,0,1,0,1,1,0.19255,0.0010673,0,1,0,0,0,0.20275,0.0035497,0,1,0,0,0,0.4432,0.0030377,0,1,0,1,0,0.27861,0.0030189,0,1,0,0,0
251.9,0.16617,0.0015608,0,0,0,1,1,0.45482,0.0041439,0,0,0,1,0,0.49821,0.0016842,0,0,0,1,1,0.44494,0.0015092,0,1,0,0,1,0.35206,0.00207,0,1,0,1,0,0.14927,0.0015221,0,1,0,1,1,0.24603,0.00064243,0,1,0,0,0,0.57047,0.0030492,0,1,0,0,0,1.0502,0.0043638,0,1,0,1,0,0.26769,0.0023181,0,1,0,0,0
252,0.3613,0.0021768,0,0,0,1,1,0.44285,0.0010124,0,0,0,1,0,0.29403,0.00037619,0,0,0,1,1,0.58368,0.0011472,0,1,0,0,1,0.69478,0.0028986,0,1,0,1,0,0.34959,0.00094675,0,1,0,1,1,0.11193,0.00073398,0,1,0,0,0,0.40236,0.0028403,0,1,0,0,0,1.2124,0.0021588,0,1,0,1,0,0.16016,0.0005106,0,1,0,0,0
252.1,0.23533,0.00068539,0,0,0,1,1,0.37569,0.0010141,0,0,0,1,0,0.30905,0.00134,0,0,0,1,1,0.96418,0.0021285,0,1,0,0,1,0.43635,0.012073,0,1,0,1,0,0.074034,0.00092558,0,1,0,1,1,0.32524,0.0019063,0,1,0,0,0,0.17005,0.0021845,0,1,0,0,0,0.93254,0.0026164,0,1,0,1,0,0.20192,0.00071854,0,1,0,0,0
252.2,0.13795,0.0010362,0,0,0,1,1,0.23512,0.0028651,0,0,0,1,0,0.34155,0.00080366,0,0,0,1,1,1.0241,0.0045927,0,1,0,0,1,0.25669,0.0014218,0,1,0,1,0,0.10866,0.00080445,0,1,0,1,1,0.17802,0.0014238,0,1,0,0,0,0.51899,0.0029368,0,1,0,0,0,0.85906,0.0030907,0,1,0,1,1,0.52296,0.0021661,0,1,0,0,0
252.3,0.51758,0.0034142,0,0,0,1,1,0.41861,0.0013801,0,0,0,1,0,0.47777,0.0020514,0,0,0,1,1,1.1944,0.0046762,0,1,0,0,1,0.17868,0.00052677,0,1,0,1,0,0.13853,0.00053338,0,1,0,1,1,0.38454,0.0013029,0,1,0,0,0,0.63264,0.0018691,0,1,0,0,0,0.4707,0.00057638,0,1,0,1,1,0.35713,0.0020718,0,1,0,0,0
252.4,0.14488,0.0013983,0,0,0,1,1,0.44503,0.0025289,0,0,0,1,0,0.2423,0.00095059,0,0,0,1,1,1.2607,0.0017712,0,1,0,0,1,0.27726,0.011881,0,1,0,1,0,0.28519,0.00023229,0,1,0,1,1,0.24871,0.001658,0,1,0,0,0,0.49416,0.0010526,0,1,0,0,0,0.16552,0.0016905,0,1,0,1,0,0.55524,0.0014485,0,1,0,0,0
252.5,0.38562,0.0027317,0,0,0,1,1,0.34224,0.00043283,0,0,0,1,0,0.18616,0.00097965,0,0,0,1,1,1.3032,0.0027598,0,1,0,0,1,0.46052,0.0023693,0,1,0,1,0,0.10699,0.00098079,0,1,0,1,1,0.52354,0.002209,0,1,0,0,0,0.30499,0.0017467,0,1,0,0,0,0.34587,0.0024484,0,1,0,1,1,0.41181,2.8868e-05,0,1,0,0,0
252.6,0.43409,0.003104,0,0,0,1,1,0.30795,0.0025199,0,0,0,1,0,0.33572,0.0018204,0,0,0,1,1,0.67424,0.0014744,0,1,0,0,1,0.35106,0.0010139,0,1,0,1,0,0.075481,0.0014224,0,1,0,1,1,0.45297,0.001906,0,1,0,0,1,0.442,0.0016467,0,1,0,0,0,0.26111,0.0015817,0,1,0,1,1,0.71697,0.0013912,0,1,0,0,0
252.7,0.15656,0.0021669,0,0,0,1,1,0.50784,0.0053303,0,0,0,1,0,0.50936,0.0017449,0,0,0,1,1,1.0307,0.0065015,0,1,0,0,1,0.44118,0.0012882,0,1,0,1,0,0.27729,0.00086297,0,1,0,1,1,0.79137,0.0020417,0,1,0,0,1,0.2588,0.0063857,0,1,0,0,0,0.52341,0.0019093,0,1,0,1,1,0.34918,0.0014047,0,1,0,0,0
252.8,0.31403,0.0011858,0,0,0,1,1,0.71144,0.00591,0,0,0,1,0,0.50063,0.0019588,0,0,0,1,1,2.418,0.014058,0,1,0,0,1,0.63106,0.0013498,0,1,0,1,0,0.20978,0.0006172,0,1,0,1,1,0.70586,0.0038172,0,1,0,0,1,0.65988,0.0040317,0,1,0,0,0,0.55611,0.0017459,0,1,0,1,1,0.20619,0.00083682,0,1,0,0,0
252.9,0.22499,0.0016024,0,0,0,1,1,0.91065,0.0038577,0,0,0,1,0,0.1229,0.0010508,0,0,0,1,1,2.0245,0.0057748,0,1,0,0,1,0.57718,0.013708,0,1,0,1,0,0.16783,0.001265,0,1,0,1,1,0.52778,0.0034099,0,1,0,0,1,0.07831,0.0029024,0,1,0,0,0,0.15831,0.0013663,0,1,0,1,1,0.56825,0.0022772,0,1,0,0,0
253,0.35174,0.00094717,0,0,0,1,1,1.7334,0.010249,0,0,0,1,0,0.35458,0.0015106,0,0,0,1,1,0.80343,0.0032077,0,1,0,0,1,0.42801,0.00080801,0,1,0,1,0,0.1386,0.0010852,0,1,0,1,1,1.0369,0.0061728,0,1,0,0,1,1.3239,0.0067865,0,1,0,0,0,0.36754,0.0022135,0,1,0,1,1,0.063586,0.0012683,0,1,0,0,0
253.1,0.24078,0.0025938,0,0,0,1,1,1.92,0.0067805,0,0,0,1,0,0.65826,0.002929,0,0,0,1,1,0.51441,0.0015185,0,1,0,0,1,0.21306,0.0017338,0,1,0,1,0,0.40673,0.00037374,0,1,0,1,1,1.7934,0.0076928,0,1,0,0,1,2.0011,0.013412,0,1,0,0,0,0.25814,0.00096347,0,1,0,0,1,0.22633,0.0010705,0,1,0,0,0
253.2,1.0603,0.011225,0,0,0,1,1,2.3732,0.0065121,0,0,0,1,0,0.87229,0.0034878,0,0,0,1,1,0.86857,0.0058876,0,1,0,0,1,0.38276,0.00085394,0,1,0,1,0,0.078984,0.00074134,0,1,0,1,1,1.5185,0.0062698,0,1,0,0,1,1.9114,0.0052899,0,1,0,0,0,0.17275,0.002245,0,1,0,0,1,0.34559,0.0015377,0,1,0,0,0
253.3,0.76086,0.005525,0,0,0,1,1,3.1068,0.012159,0,0,0,1,0,1.2082,0.0055446,0,0,0,1,1,2.5239,0.01359,0,1,0,0,1,0.352,0.001122,0,1,0,1,0,0.12967,0.0012929,0,1,0,1,1,1.2396,0.0061937,0,1,0,0,1,0.90345,0.011176,0,1,0,0,0,0.10209,0.00068909,0,1,0,1,1,0.30351,0.0014939,0,1,0,0,0
253.4,0.25496,0.0051705,0,0,0,1,1,2.4803,0.0088257,0,0,0,1,0,1.1782,0.0047088,0,0,0,1,1,2.5786,0.0093508,0,1,0,0,1,0.37639,0.0013494,0,1,0,1,0,0.1709,0.00038212,0,1,0,1,1,2.2744,0.013557,0,1,0,0,1,0.27307,0.0024545,0,1,0,0,0,0.14211,0.0012228,0,1,0,1,1,0.23737,0.0015817,0,1,0,0,0
253.5,0.4706,0.0033947,0,0,0,1,1,1.7037,0.0052538,0,0,0,1,0,0.5923,0.0020259,0,0,0,1,1,1.057,0.0086523,0,1,0,0,1,0.2735,0.0010199,0,1,0,1,0,0.021898,0.00049814,0,1,0,1,1,3.8402,0.020644,0,1,0,0,1,6.7664,0.02541,0,1,0,0,0,0.49532,0.0036633,0,1,0,1,1,0.16179,0.004612,0,1,0,0,0
253.6,0.1849,0.00077406,0,0,0,1,1,2.2555,0.013419,0,0,0,1,0,0.41981,0.0023874,0,0,0,1,1,2.0798,0.011017,0,1,0,0,1,0.4363,0.0021681,0,1,0,1,0,0.21629,0.00086431,0,1,0,1,1,1.792,0.009848,0,1,0,0,1,8.1589,0.041568,0,1,0,0,0,0.44298,0.0022204,0,1,0,1,1,0.50289,0.0022941,0,1,0,0,0
253.7,0.12716,0.0011979,0,0,0,1,1,4.347,0.024573,0,0,0,1,0,0.34485,0.0011014,0,0,0,1,1,1.8415,0.0070296,0,1,0,1,1,0.19073,0.0017086,0,1,0,1,0,0.1118,0.0011778,0,1,0,1,1,1.1551,0.0056938,0,1,0,0,1,2.8012,0.046166,0,1,0,0,0,0.38838,0.0023573,0,1,0,0,1,0.2262,0.00071079,0,1,0,0,0
253.8,0.2816,0.0025655,0,0,0,1,1,7.2386,0.038712,0,0,0,1,0,0.19907,0.0011511,0,0,0,1,1,0.56159,0.0027997,0,1,0,1,1,0.8416,0.012452,0,1,0,1,0,0.14037,0.0017823,0,1,0,1,1,1.0866,0.0049941,0,1,0,0,1,5.7096,0.027328,0,1,0,0,0,0.25713,0.00028512,0,1,0,0,1,0.24133,0.00066383,0,1,0,0,0
253.9,0.56902,0.0042215,0,0,0,1,1,11.182,0.059743,0,0,0,1,0,0.86824,0.0038929,0,0,0,1,1,0.23474,0.008581,0,1,0,1,1,2.3546,0.010182,0,1,0,1,0,0.38516,0.0029556,0,1,0,1,1,1.771,0.0094296,0,1,0,0,1,8.9626,0.036504,0,1,0,0,0,0.34749,0.0011969,0,1,0,0,1,0.47089,0.0019875,0,1,0,0,0
254,0.48926,0.0010202,0,0,0,1,1,13.219,0.07056,0,0,0,1,1,1.591,0.011769,0,0,0,1,1,1.0507,0.0069372,0,1,0,1,1,1.5285,0.012638,0,1,0,1,0,1.7438,0.0067737,0,1,0,1,1,2.9827,0.012939,0,1,0,0,1,8.1543,0.024878,0,1,0,0,0,0.074238,0.00085947,0,1,0,0,1,0.35926,0.0009414,0,1,0,0,0
254.1,1.7724,0.01154,0,0,0,1,1,8.229,0.031342,0,0,0,1,0,0.49651,0.0017158,0,0,0,1,1,4.0678,0.0059044,0,1,0,1,1,3.9116,0.014012,0,1,0,1,0,1.7095,0.013173,0,1,0,1,1,2.6562,0.011905,0,1,0,0,1,5.0755,0.024104,0,1,0,0,0,0.12945,0.00096086,0,1,0,0,1,0.16487,0.0027633,0,1,0,0,0
254.2,4.3647,0.00086451,0,0,0,1,1,4.2914,0.014676,0,0,0,1,0,0.94943,0.003956,0,0,0,1,1,2.5033,0.004695,0,1,0,1,1,3.7472,0.0092204,0,1,0,1,0,1.5705,0.0046178,0,1,0,1,1,0.42764,0.0015398,0,1,0,0,1,0.97369,0.0027457,0,1,0,0,0,0.41102,0.00043475,0,1,0,0,1,0.11425,0.00036559,0,1,0,0,0
254.3,11.319,0.019926,0,0,0,1,1,2.0588,0.0089454,0,0,0,1,0,2.4933,0.011417,0,0,0,1,1,1.0664,0.0027503,0,1,0,1,1,2.8823,0.0049964,0,1,0,1,0,4.1314,0.0067898,0,1,0,1,1,0.2929,0.0030228,0,1,0,0,1,2.3337,0.01036,0,1,0,0,0,0.18929,0.0019613,0,1,0,0,1,0.23162,0.0007715,0,1,0,0,0
254.4,8.5698,0.056127,0,0,0,1,1,0.74187,0.0042234,0,0,0,1,0,1.3952,0.0027143,0,0,0,1,1,1.3749,0.0053223,0,1,0,1,1,2.1123,0.0084089,0,1,0,1,0,3.796,0.0055766,0,1,0,1,1,1.9895,0.0094147,0,1,0,0,1,3.4924,0.0090369,0,1,0,0,0,0.44556,0.0023242,0,1,0,0,1,0.16799,0.0032662,0,1,0,0,0
254.5,5.3743,0.022588,0,0,0,1,1,0.23688,0.0031875,0,0,0,1,0,0.12416,0.00098115,0,0,0,1,1,2.3226,0.0051013,0,1,0,1,1,1.3028,0.0027111,0,1,0,1,0,3.0553,0.0034301,0,1,0,1,1,2.6006,0.015601,0,1,0,0,1,3.9664,0.010224,0,1,0,0,0,0.28851,0.0021773,0,1,0,0,1,0.84029,0.0047487,0,1,0,0,0
254.6,2.0399,0.0076,0,0,0,1,1,0.61413,0.0030818,0,0,0,1,0,0.86708,0.0036401,0,0,0,1,1,4.8553,0.0045722,0,1,0,1,1,1.645,0.004191,0,1,0,1,0,1.1539,0.0017006,0,1,0,1,1,0.74088,0.010439,0,1,0,0,1,3.8162,0.016652,0,1,0,0,0,0.15489,0.0015924,0,1,0,0,1,0.46222,0.00087771,0,1,0,0,0
254.7,2.1998,0.013913,0,0,0,1,1,0.66706,0.0021497,0,0,0,1,0,0.77659,0.0027757,0,0,0,1,1,6.0414,0.012241,0,1,0,1,1,1.8105,0.004939,0,1,0,1,0,2.0325,0.0073631,0,1,0,1,1,0.80916,0.0044904,0,1,0,0,1,2.6797,0.0087645,0,1,0,0,0,0.10887,0.00011484,0,1,0,0,1,0.35235,0.0021275,0,1,0,0,0
254.8,5.4126,0.0097005,0,0,0,1,1,0.18014,0.0021409,0,0,0,1,0,0.32293,0.00073162,0,0,0,1,1,4.8373,0.0089923,0,1,0,1,1,1.6682,0.0042193,0,1,0,1,0,0.83883,0.0057379,0,1,0,1,1,0.55412,0.0081659,0,1,0,0,1,1.6569,0.0053705,0,1,0,0,0,0.36113,0.00062172,0,1,0,0,1,0.3474,0.0022886,0,1,0,0,0
254.9,6.2869,0.0028366,0,0,0,1,1,0.53836,0.0030471,0,0,0,1,0,0.85295,0.003225,0,0,0,1,1,1.9114,0.0058563,0,1,0,1,1,3.4947,0.0067603,0,1,0,1,0,4.0168,0.0044024,0,1,0,1,1,0.64249,0.0044091,0,1,0,0,1,1.3699,0.0025081,0,1,0,0,0,0.16656,0.00042187,0,1,0,0,1,0.22383,0.0023982,0,1,0,0,0
