Time,Audience 01/Moved,Audience 01/Rotated,Audience 01/isLookingAtPerformer,Audience 01/isLookingAtAudience,Audience 01/isBeingLookedAtByPerformer,Audience 01/isBeingLookedAtByAudienceMember,Audience 01/isLookingAtVPScreen,Audience 02/Moved,Audience 02/Rotated,Audience 02/isLookingAtPerformer,Audience 02/isLookingAtAudience,Audience 02/isBeingLookedAtByPerformer,Audience 02/isBeingLookedAtByAudienceMember,Audience 02/isLookingAtVPScreen,Audience 03/Moved,Audience 03/Rotated,Audience 03/isLookingAtPerformer,Audience 03/isLookingAtAudience,Audience 03/isBeingLookedAtByPerformer,Audience 03/isBeingLookedAtByAudienceMember,Audience 03/isLookingAtVPScreen,Audience 04/Moved,Audience 04/Rotated,Audience 04/isLookingAtPerformer,Audience 04/isLookingAtAudience,Audience 04/isBeingLookedAtByPerformer,Audience 04/isBeingLookedAtByAudienceMember,Audience 04/isLookingAtVPScreen,Audience 05/Moved,Audience 05/Rotated,Audience 05/isLookingAtPerformer,Audience 05/isLookingAtAudience,Audience 05/isBeingLookedAtByPerformer,Audience 05/isBeingLookedAtByAudienceMember,Audience 05/isLookingAtVPScreen,Audience 06/Moved,Audience 06/Rotated,Audience 06/isLookingAtPerformer,Audience 06/isLookingAtAudience,Audience 06/isBeingLookedAtByPerformer,Audience 06/isBeingLookedAtByAudienceMember,Audience 06/isLookingAtVPScreen,Audience 07/Moved,Audience 07/Rotated,Audience 07/isLookingAtPerformer,Audience 07/isLookingAtAudience,Audience 07/isBeingLookedAtByPerformer,Audience 07/isBeingLookedAtByAudienceMember,Audience 07/isLookingAtVPScreen,Audience 08/Moved,Audience 08/Rotated,Audience 08/isLookingAtPerformer,Audience 08/isLookingAtAudience,Audience 08/isBeingLookedAtByPerformer,Audience 08/isBeingLookedAtByAudienceMember,Audience 08/isLookingAtVPScreen,Audience 09/Moved,Audience 09/Rotated,Audience 09/isLookingAtPerformer,Audience 09/isLookingAtAudience,Audience 09/isBeingLookedAtByPerformer,Audience 09/isBeingLookedAtByAudienceMember,Audience 09/isLookingAtVPScreen,Audience 10/Moved,Audience 10/Rotated,Audience 10/isLookingAtPerformer,Audience 10/isLookingAtAudience,Audience 10/isBeingLookedAtByPerformer,Audience 10/isBeingLookedAtByAudienceMember,Audience 10/isLookingAtVPScreen,Audience 11/Moved,Audience 11/Rotated,Audience 11/isLookingAtPerformer,Audience 11/isLookingAtAudience,Audience 11/isBeingLookedAtByPerformer,Audience 11/isBeingLookedAtByAudienceMember,Audience 11/isLookingAtVPScreen,Audience 12/Moved,Audience 12/Rotated,Audience 12/isLookingAtPerformer,Audience 12/isLookingAtAudience,Audience 12/isBeingLookedAtByPerformer,Audience 12/isBeingLookedAtByAudienceMember,Audience 12/isLookingAtVPScreen,Performer/Moved,Performer/Rotated,Performer/isLookingAtPerformer,Performer/isLookingAtAudience,Performer/isBeingLookedAtByPerformer,Performer/isBeingLookedAtByAudienceMember,Performer/isLookingAtVPScreen
297.6,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
297.7,0.74243,0.001698,1,0,0,0,0,0.4794,0.0019066,0,0,0,1,1,0.34282,0.0017164,0,0,0,1,0,5.3505,0.015635,0,0,0,1,0,0.16303,0.0030858,0,1,0,1,1,0.33059,0.0012443,0,1,0,1,1,0.22917,0.0020196,0,1,0,1,1,0.23533,0.00056708,0,1,0,1,1,1.9307,0.021755,0,1,0,0,0,0.38477,0.0018942,0,1,0,0,0,0.10164,0.00048551,0,1,0,0,0,7.9276,0.047834,0,1,0,0,0,0,0,0,0,0,1,0
297.8,0.60125,0.00031559,1,0,0,0,0,0.44815,0.001541,0,0,0,1,1,0.47695,0.0020606,0,0,0,1,0,3.6178,0.011824,0,0,0,1,0,0.5669,0.0019564,0,1,0,1,1,0.37626,0.00075526,0,1,0,1,1,0.23451,0.0099721,0,1,0,1,1,0.4973,0.002224,0,1,0,1,1,2.029,0.0069669,0,1,0,0,0,0.56944,0.0017774,0,1,0,0,0,0.20503,0.0030794,0,1,0,0,0,9.3041,0.044376,0,1,0,0,0,0,0,0,0,0,1,0
297.9,0.57876,0.0017269,1,0,0,0,0,0.47164,0.00068848,0,0,0,1,1,0.49953,0.0021328,0,0,0,1,0,1.7723,0.0075656,0,0,0,1,0,1.3505,0.0051512,0,1,0,1,1,0.53421,0.0017236,0,1,0,1,1,0.18739,0.0079083,0,1,0,1,1,0.26076,0.0011864,0,1,0,1,1,2.6655,0.01035,0,1,0,0,0,0.30729,0.0016948,0,1,0,0,0,0.61644,0.0032086,0,1,0,0,0,7.547,0.032193,0,1,0,0,0,0,0,0,0,0,1,0
298,0.38763,0.0029018,1,0,0,0,0,0.39692,0.0030111,0,0,0,1,1,0.60679,0.0031113,0,0,0,1,0,1.1373,0.0054713,0,0,0,1,0,1.3839,0.004766,0,1,0,1,1,0.47386,0.00091181,0,1,0,1,1,0.11935,0.00075747,0,1,0,1,1,0.1885,0.0011801,0,1,0,1,1,1.7054,0.0048377,0,1,0,0,0,0.36992,0.00019566,0,1,0,0,0,0.74392,0.0031923,0,1,0,0,0,4.519,0.019384,0,1,0,0,0,0,0,0,0,0,1,0
298.1,0.51802,0.0019317,1,0,0,0,0,0.34161,0.00063824,0,0,0,1,1,1.4227,0.01077,0,0,0,1,0,1.5916,0.0063945,0,0,0,1,0,0.94876,0.0025711,0,1,0,1,1,0.25866,0.0015283,0,1,0,1,1,0.15335,0.0017831,0,1,0,1,1,0.21808,0.00066015,0,1,0,1,1,1.127,0.013024,0,1,0,0,0,0.35482,0.00081221,0,1,0,0,0,0.36474,0.0018651,0,1,0,0,0,2.6453,0.012915,0,1,0,0,0,0,0,0,0,0,1,0
298.2,0.32483,0.0008331,1,0,0,0,0,0.49866,0.0018244,0,0,0,1,1,3.2006,0.018329,0,0,0,1,0,1.4596,0.0052975,0,0,0,1,0,1.2802,0.0014137,0,1,0,1,1,0.669,0.001533,0,1,0,1,1,0.10495,0.0039916,0,1,0,1,1,0.42659,0.0028658,0,1,0,1,1,2.5777,0.0057893,0,1,0,0,0,0.51412,0.00042255,0,1,0,0,0,0.24401,0.0023862,0,1,0,0,0,2.0863,0.0089772,0,1,0,0,0,0,0,0,0,0,1,0
298.3,0.51473,0.002629,1,0,0,0,0,0.59364,0.0023012,0,0,0,1,1,2.7949,0.0050427,0,0,0,1,0,1.6691,0.0043585,0,0,0,1,0,1.499,0.0038039,0,1,0,1,1,1.0455,0.0053213,0,1,0,1,1,0.063759,0.0010421,0,1,0,1,1,0.15411,0.0010651,0,1,0,1,1,3.9217,0.015212,0,1,0,0,0,0.89539,0.0052224,0,1,0,0,0,0.196,0.0036187,0,1,0,0,0,1.9759,0.011878,0,1,0,0,0,0,0,0,0,0,1,0
298.4,1.0431,0.50537,0,0,0,0,1,0.31922,0.00086991,0,0,0,1,1,1.7942,0.010819,0,0,0,1,0,1.5286,0.0065237,0,0,0,1,0,0.8997,0.0034055,0,1,0,1,1,0.56088,0.003257,0,1,0,1,1,0.22021,0.0019747,0,1,0,1,1,0.19945,0.00062449,0,1,0,1,1,3.5422,0.016154,0,1,0,0,0,1.2168,0.0025913,0,1,0,0,0,0.14671,0.0013105,0,1,0,0,0,1.6841,0.0078308,0,1,0,0,0,0,0,0,0,0,0,0
298.5,0.87195,0.0034355,0,0,0,0,1,0.28109,0.001665,0,0,0,1,1,2.425,0.010311,0,0,0,1,0,0.80632,0.0015794,0,0,0,1,0,0.73632,0.0040562,0,1,0,1,1,0.87101,0.0033634,0,1,0,1,1,0.23493,0.00053177,0,1,0,1,1,0.21955,0.0014788,0,1,0,1,1,2.2207,0.0076545,0,1,0,0,0,1.6483,0.0024313,0,1,0,0,0,0.1679,0.0010559,0,1,0,0,0,1.9101,0.016258,0,1,0,0,0,0,0,0,0,0,0,0
298.6,0.50246,0.00087091,0,0,0,0,1,0.30673,0.0016196,0,0,0,1,1,2.038,0.010873,0,0,0,1,0,0.95483,0.0039294,0,0,0,1,0,0.77063,0.0047757,0,1,0,1,1,0.16495,0.0015622,0,1,0,1,1,0.24,0.0035898,0,1,0,1,1,0.086464,0.0010587,0,1,0,1,1,0.87326,0.0087308,0,1,0,0,0,1.7383,0.0039549,0,1,0,0,0,0.27959,0.0013319,0,1,0,0,0,1.8062,0.01392,0,1,0,0,0,0,0,0,0,0,0,0
298.7,0.26656,0.0023665,0,0,0,0,1,0.15784,0.00051284,0,0,0,1,1,1.9277,0.0099997,0,0,0,1,0,1.3542,0.0034807,0,0,0,1,0,0.81259,0.00086359,0,1,0,1,1,0.33011,0.0022418,0,1,0,1,1,0.22035,0.00061487,0,1,0,1,1,0.37691,0.0015198,0,1,0,1,1,1.0842,0.0036054,0,1,0,0,0,1.255,0.0045131,0,1,0,0,0,0.42312,0.0011619,0,1,0,0,0,2.5615,0.0043384,0,1,0,0,0,0,0,0,0,0,0,0
298.8,0.40356,0.00085529,0,0,0,0,1,0.18196,0.0010375,0,0,0,1,1,1.3678,0.0056168,0,0,0,1,0,1.4091,0.0072116,0,0,0,1,0,0.92578,0.0015155,0,1,0,1,1,0.38086,0.0017589,0,1,0,1,1,0.47904,0.001772,0,1,0,1,1,0.28048,0.00056958,0,1,0,1,1,1.2787,0.0056557,0,1,0,0,0,1.1397,0.004133,0,1,0,0,0,0.57899,0.0068561,0,1,0,0,0,2.0842,0.004266,0,1,0,0,0,0,0,0,0,0,0,0
298.9,0.70538,0.00097689,0,0,0,0,1,0.20454,0.00011622,0,0,0,1,1,1.5762,0.0078725,0,0,0,1,0,0.62358,0.0024272,0,0,0,1,0,1.2056,0.0026115,0,1,0,1,1,0.77902,0.0026853,0,1,0,1,1,0.72553,0.0041235,0,1,0,1,1,0.30661,0.0012307,0,1,0,1,1,2.0562,0.01105,0,1,0,0,0,1.097,0.0036288,0,1,0,0,0,0.52749,0.0019706,0,1,0,0,0,2.8387,0.0096504,0,1,0,0,0,0,0,0,0,0,0,0
299,0.28251,0.0094226,0,0,0,0,1,0.76946,0.0032425,0,0,0,1,1,2.2641,0.0071315,0,0,0,1,0,1.0305,0.002225,0,0,0,1,0,0.77249,0.00071537,0,1,0,1,1,0.45457,0.0012028,0,1,0,1,1,0.47527,0.0031453,0,1,0,1,1,0.3689,0.0016029,0,1,0,1,1,2.2623,0.0080376,0,1,0,0,0,0.89786,0.0024526,0,1,0,0,0,1.3371,0.0081505,0,1,0,0,0,1.5579,0.007898,0,1,0,0,0,0,0,0,0,0,0,0
299.1,0.60325,0.0033892,0,0,0,0,1,1.135,0.007166,0,0,0,1,1,2.7379,0.010227,0,0,0,1,0,1.1004,0.0025882,0,0,0,1,0,0.96568,0.0025731,0,1,0,1,1,0.43586,0.0053597,0,1,0,1,1,0.55011,0.0029326,0,1,0,1,1,0.45386,0.0039591,0,1,0,1,1,3.3825,0.0088523,0,1,0,0,0,0.76817,0.00087955,0,1,0,0,0,1.3655,0.005806,0,1,0,0,0,1.5598,0.0067116,0,1,0,0,0,0,0,0,0,0,0,0
299.2,0.6727,0.00063277,0,0,0,0,1,0.70823,0.0043428,0,0,0,1,1,2.2839,0.012925,0,0,0,1,0,1.2238,0.0025849,0,0,0,1,0,1.845,0.012171,0,1,0,1,1,1.3327,0.024972,0,1,0,1,1,1.0576,0.0039724,0,1,0,1,1,0.15796,0.00031983,0,1,0,1,1,3.8214,0.013867,0,1,0,0,0,0.21679,0.0012191,0,1,0,0,0,0.81801,0.00061889,0,1,0,0,0,1.2677,0.002307,0,1,0,0,0,0,0,0,0,0,0,0
299.3,0.439,0.0035461,0,0,0,0,1,0.18722,0.0013107,0,0,0,1,1,1.1675,0.0057627,0,0,0,1,0,1.9406,0.0043597,0,0,0,1,0,1.6867,0.0042351,0,1,0,1,1,2.467,0.023864,0,1,0,1,0,0.93169,0.0047225,0,1,0,1,1,0.20139,0.0011984,0,1,0,1,1,2.4446,0.008789,0,1,0,0,0,0.67971,0.00087443,0,1,0,0,0,0.82578,0.003908,0,1,0,0,0,1.408,0.0039356,0,1,0,0,0,0,0,0,0,0,0,0
299.4,0.80426,0.0070903,0,0,0,0,1,0.33308,0.0023288,0,0,0,1,1,0.55202,0.0024657,0,0,0,1,0,1.6002,0.0055479,0,0,0,1,0,0.65705,0.0017941,0,1,0,1,1,1.6031,0.0048098,0,1,0,1,0,0.38652,0.0001827,0,1,0,1,1,0.75737,0.0038485,0,1,0,1,1,0.95926,0.0097519,0,1,0,0,0,0.99965,0.002313,0,1,0,0,0,0.97287,0.0063169,0,1,0,0,0,0.90285,0.0049302,0,1,0,0,0,0,0,0,0,0,0,0
299.5,0.9986,0.001684,0,0,0,0,1,0.3785,0.002321,0,0,0,1,1,1.3813,0.006339,0,0,0,1,0,1.0029,0.00064751,0,0,0,1,0,0.42086,0.0031401,0,1,0,1,1,0.55939,0.0079788,0,1,0,1,1,0.19471,0.00052775,0,1,0,1,1,0.5213,0.0010892,0,1,0,1,1,0.86878,0.0053161,0,1,0,0,0,0.88057,0.0033025,0,1,0,0,0,1.1297,0.0080772,0,1,0,0,0,0.83076,0.0071669,0,1,0,0,0,0,0,0,0,0,0,0
299.6,1.5497,0.002928,0,0,0,0,1,0.32217,0.0028484,0,0,0,1,1,1.2842,0.0064839,0,0,0,1,0,0.3967,0.0021275,0,0,0,1,0,1.0275,0.0061128,0,1,0,1,1,1.4417,0.0093365,0,1,0,1,1,0.2496,0.0015725,0,1,0,1,1,0.07359,0.0013647,0,1,0,1,1,1.4446,0.0063605,0,1,0,0,0,0.9075,0.0025926,0,1,0,0,0,1.1967,0.0053969,0,1,0,0,0,1.4947,0.0016097,0,1,0,0,0,0,0,0,0,0,0,0
299.7,1.661,0.0082368,0,0,0,0,1,0.47638,0.0030847,0,0,0,1,1,0.33176,0.0014568,0,0,0,1,0,0.15145,0.0041857,0,0,0,1,0,1.0553,0.0029897,0,1,0,1,1,1.6769,0.0080535,0,1,0,1,1,0.05964,0.0026437,0,1,0,1,1,0.31252,0.0024003,0,1,0,1,1,2.0399,0.0072207,0,1,0,0,0,0.70298,0.00049954,0,1,0,0,0,1.0035,0.0060847,0,1,0,0,0,2.2298,0.0014621,0,1,0,0,0,0,0,0,0,0,0,0
299.8,0.82634,0.0027783,0,0,0,0,1,0.74079,0.0025075,0,0,0,1,1,0.64182,0.0022255,0,0,0,1,0,0.055932,0.0014724,0,0,0,1,0,0.33541,0.00055408,0,1,0,1,1,1.7304,0.0099472,0,1,0,1,1,0.14044,0.0019819,0,1,0,1,1,0.44151,0.0027542,0,1,0,1,1,1.9444,0.0043234,0,1,0,0,0,0.55464,0.0019072,0,1,0,0,0,1.5452,0.013927,0,1,0,0,0,1.6064,0.0057404,0,1,0,0,0,0,0,0,0,0,0,0
299.9,0.46339,0.0021676,0,0,0,0,1,0.036396,0.0020057,0,0,0,1,1,0.89565,0.0015284,0,0,0,1,0,0.62595,0.0087617,0,0,0,1,0,0.22697,0.0015748,0,1,0,1,1,1.5531,0.0074825,0,1,0,1,1,0.078033,0.0022005,0,1,0,1,1,0.49492,0.0027225,0,1,0,1,1,0.62345,0.0034987,0,1,0,0,0,0.656,0.0038282,0,1,0,0,0,2.5819,0.017073,0,1,0,0,0,0.40932,0.01019,0,1,0,0,0,0,0,0,0,0,0,0
300,0.25737,0.0041668,0,0,0,0,1,0.21743,0.0024953,0,0,0,1,1,0.77692,0.0013234,0,0,0,1,0,5.2587,0.071921,0,0,0,1,0,0.43053,0.0015588,0,1,0,1,1,1.5172,0.0022107,0,1,0,1,1,0.16991,0.0017894,0,1,0,1,1,0.51465,0.0033805,0,1,0,1,1,4.0515,0.013805,0,1,0,0,0,0.63404,0.0018076,0,1,0,0,0,2.5494,0.01585,0,1,0,0,0,2.2257,0.013664,0,1,0,0,0,0,0,0,0,0,0,0
300.1,0.45956,0.0028177,0,0,0,0,1,0.66897,0.0024007,0,0,0,1,1,0.68508,0.0025109,0,0,0,1,0,5.28,0.092255,0,0,0,1,0,0.2748,0.0030156,0,1,0,1,1,1.5566,0.0060657,0,1,0,1,1,0.19047,0.00098842,0,1,0,1,1,0.2077,0.0018493,0,1,0,1,1,4.6292,0.017878,0,1,0,0,0,0.6666,0.0028998,0,1,0,0,0,2.1245,0.016206,0,1,0,0,0,1.166,0.0080347,0,1,0,0,0,0,0,0,0,0,0,0
