Time,Performer_Hat/Movement,Performer_Hat/isLookingAt,Performer_Hat/isBeingLookedAtByPerformer,Performer_Hat/isBeingLookedAtByAudienceMember,Performer_Hat/isLookingAtVPScreen,Audience_01_Hat/Movement,Audience_01_Hat/isLookingAt,Audience_01_Hat/isBeingLookedAtByPerformer,Audience_01_Hat/isBeingLookedAtByAudienceMember,Audience_01_Hat/isLookingAtVPScreen,Audience_02/Movement,Audience_02/isLookingAt,Audience_02/isBeingLookedAtByPerformer,Audience_02/isBeingLookedAtByAudienceMember,Audience_02/isLookingAtVPScreen,Audience_03_Hat/Movement,Audience_03_Hat/isLookingAt,Audience_03_Hat/isBeingLookedAtByPerformer,Audience_03_Hat/isBeingLookedAtByAudienceMember,Audience_03_Hat/isLookingAtVPScreen,Audience_06_Hat/Movement,Audience_06_Hat/isLookingAt,Audience_06_Hat/isBeingLookedAtByPerformer,Audience_06_Hat/isBeingLookedAtByAudienceMember,Audience_06_Hat/isLookingAtVPScreen,Audience_07_Hat/Movement,Audience_07_Hat/isLookingAt,Audience_07_Hat/isBeingLookedAtByPerformer,Audience_07_Hat/isBeingLookedAtByAudienceMember,Audience_07_Hat/isLookingAtVPScreen,Audience_08_Hat/Movement,Audience_08_Hat/isLookingAt,Audience_08_Hat/isBeingLookedAtByPerformer,Audience_08_Hat/isBeingLookedAtByAudienceMember,Audience_08_Hat/isLookingAtVPScreen,Audience_09_Hat/Movement,Audience_09_Hat/isLookingAt,Audience_09_Hat/isBeingLookedAtByPerformer,Audience_09_Hat/isBeingLookedAtByAudienceMember,Audience_09_Hat/isLookingAtVPScreen,Audience_10_Hat/Movement,Audience_10_Hat/isLookingAt,Audience_10_Hat/isBeingLookedAtByPerformer,Audience_10_Hat/isBeingLookedAtByAudienceMember,Audience_10_Hat/isLookingAtVPScreen,Audience_11_Hat/Movement,Audience_11_Hat/isLookingAt,Audience_11_Hat/isBeingLookedAtByPerformer,Audience_11_Hat/isBeingLookedAtByAudienceMember,Audience_11_Hat/isLookingAtVPScreen
463.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,1,0,0,2,0,1,1,0,2,0,1,0,0,2,0,0,0,0,2,0,1,0,0,2,0,0,0
463.8,0,0,0,0,0,0.49565,0,0,0,0,0.73343,0,0,1,1,0.42122,0,0,1,1,0.57519,2,0,1,0,0.56341,2,0,1,1,1.07,2,0,1,0,1.6183,2,0,0,0,1.0087,2,0,1,0,2.2533,2,0,0,0
463.9,0,0,0,0,0,0.97085,0,0,0,0,0.49912,0,0,1,1,0.46039,0,0,1,1,0.92019,2,0,1,0,0.94932,2,0,1,1,0.39574,2,0,1,0,1.0683,2,0,0,0,0.24039,2,0,1,0,2.9054,2,0,0,0
464,0,0,0,0,0,0.88929,0,0,0,0,0.45653,0,0,1,1,0.55961,0,0,1,1,0.70091,2,0,1,0,1.2765,2,0,1,1,0.35026,2,0,0,0,0.91032,2,0,0,0,0.59267,2,0,1,0,2.1695,2,0,0,0
464.1,0,0,0,0,0,0.37259,0,0,0,0,0.49267,0,0,1,1,0.4014,0,0,1,1,1.7251,2,0,1,0,0.64259,2,0,1,1,0.27291,2,0,0,0,8.7479,2,0,0,0,0.33486,2,0,1,0,1.5617,2,0,0,0
464.2,0,0,0,0,0,0.49969,0,0,0,0,0.29454,0,0,1,1,0.16362,0,0,1,1,1.3076,2,0,1,0,0.73261,2,0,1,1,0.22243,2,0,0,0,8.3392,2,0,0,0,0.26213,2,0,0,0,1.7681,2,0,0,0
464.3,0,0,0,0,0,0.42696,0,0,0,0,0.72066,0,0,1,1,0.14412,0,0,1,1,0.58217,2,0,1,0,1.183,2,0,1,1,0.36953,2,0,0,0,0.18038,2,0,0,0,0.57719,2,0,0,0,1.3989,2,0,0,0
464.4,0,0,0,0,0,0.23514,0,0,0,0,1.0669,0,0,1,1,0.51874,0,0,1,1,0.94563,2,0,1,0,1.1068,2,0,1,1,0.21892,2,0,0,0,0.59186,2,0,0,0,0.51683,2,0,0,0,0.96124,2,0,0,0
464.5,0,0,0,0,0,0.48381,0,0,0,0,0.5738,0,0,1,1,0.60417,0,0,1,1,0.46111,2,0,1,0,0.62329,2,0,1,1,0.13162,2,0,0,0,1.08,2,0,0,0,1.2565,2,0,0,0,0.63518,2,0,0,0
464.6,0,0,0,0,0,0.33911,0,0,0,0,0.29528,0,0,1,1,0.78195,0,0,1,1,0.60982,2,0,1,0,1.1897,2,0,1,1,0.20222,2,0,0,0,0.79452,2,0,0,0,1.769,2,0,0,0,0.74343,2,0,0,0
